"Date","SOFR OIS 10 Years"
09-Jan-18,N/A
10-Jan-18,N/A
11-Jan-18,N/A
12-Jan-18,N/A
16-Jan-18,N/A
17-Jan-18,N/A
18-Jan-18,N/A
19-Jan-18,N/A
22-Jan-18,N/A
23-Jan-18,N/A
24-Jan-18,N/A
25-Jan-18,N/A
26-Jan-18,N/A
29-Jan-18,N/A
30-Jan-18,N/A
31-Jan-18,N/A
01-Feb-18,N/A
02-Feb-18,N/A
05-Feb-18,N/A
06-Feb-18,N/A
07-Feb-18,N/A
08-Feb-18,N/A
09-Feb-18,N/A
12-Feb-18,N/A
13-Feb-18,N/A
14-Feb-18,N/A
15-Feb-18,N/A
16-Feb-18,N/A
20-Feb-18,N/A
21-Feb-18,N/A
22-Feb-18,N/A
23-Feb-18,N/A
26-Feb-18,N/A
27-Feb-18,N/A
28-Feb-18,N/A
01-Mar-18,N/A
02-Mar-18,N/A
05-Mar-18,N/A
06-Mar-18,N/A
07-Mar-18,N/A
08-Mar-18,N/A
09-Mar-18,N/A
12-Mar-18,N/A
13-Mar-18,N/A
14-Mar-18,N/A
15-Mar-18,N/A
16-Mar-18,N/A
19-Mar-18,N/A
20-Mar-18,N/A
21-Mar-18,N/A
22-Mar-18,N/A
23-Mar-18,N/A
26-Mar-18,N/A
27-Mar-18,N/A
28-Mar-18,N/A
29-Mar-18,N/A
02-Apr-18,N/A
03-Apr-18,N/A
04-Apr-18,N/A
05-Apr-18,N/A
06-Apr-18,N/A
09-Apr-18,N/A
10-Apr-18,N/A
11-Apr-18,N/A
12-Apr-18,N/A
13-Apr-18,N/A
16-Apr-18,N/A
17-Apr-18,N/A
18-Apr-18,N/A
19-Apr-18,N/A
20-Apr-18,N/A
23-Apr-18,N/A
24-Apr-18,N/A
25-Apr-18,N/A
26-Apr-18,N/A
27-Apr-18,N/A
30-Apr-18,N/A
01-May-18,N/A
02-May-18,N/A
03-May-18,N/A
04-May-18,N/A
07-May-18,N/A
08-May-18,N/A
09-May-18,N/A
10-May-18,N/A
11-May-18,N/A
14-May-18,N/A
15-May-18,N/A
16-May-18,N/A
17-May-18,N/A
18-May-18,N/A
21-May-18,N/A
22-May-18,N/A
23-May-18,N/A
24-May-18,N/A
25-May-18,N/A
29-May-18,N/A
30-May-18,N/A
31-May-18,N/A
01-Jun-18,N/A
04-Jun-18,N/A
05-Jun-18,N/A
06-Jun-18,N/A
07-Jun-18,N/A
08-Jun-18,N/A
11-Jun-18,N/A
12-Jun-18,N/A
13-Jun-18,N/A
14-Jun-18,N/A
15-Jun-18,N/A
18-Jun-18,N/A
19-Jun-18,N/A
20-Jun-18,N/A
21-Jun-18,N/A
22-Jun-18,N/A
25-Jun-18,N/A
26-Jun-18,N/A
27-Jun-18,N/A
28-Jun-18,N/A
29-Jun-18,N/A
02-Jul-18,N/A
03-Jul-18,N/A
05-Jul-18,N/A
06-Jul-18,N/A
09-Jul-18,N/A
10-Jul-18,N/A
11-Jul-18,N/A
12-Jul-18,N/A
13-Jul-18,N/A
16-Jul-18,N/A
17-Jul-18,N/A
18-Jul-18,N/A
19-Jul-18,N/A
20-Jul-18,N/A
23-Jul-18,N/A
24-Jul-18,N/A
25-Jul-18,N/A
26-Jul-18,N/A
27-Jul-18,N/A
30-Jul-18,N/A
31-Jul-18,N/A
01-Aug-18,N/A
02-Aug-18,N/A
03-Aug-18,N/A
06-Aug-18,N/A
07-Aug-18,N/A
08-Aug-18,N/A
09-Aug-18,N/A
10-Aug-18,N/A
13-Aug-18,N/A
14-Aug-18,N/A
15-Aug-18,N/A
16-Aug-18,N/A
17-Aug-18,N/A
20-Aug-18,N/A
21-Aug-18,N/A
22-Aug-18,N/A
23-Aug-18,N/A
24-Aug-18,N/A
27-Aug-18,N/A
28-Aug-18,N/A
29-Aug-18,N/A
30-Aug-18,N/A
31-Aug-18,N/A
04-Sep-18,N/A
05-Sep-18,N/A
06-Sep-18,N/A
07-Sep-18,N/A
10-Sep-18,N/A
11-Sep-18,N/A
12-Sep-18,N/A
13-Sep-18,N/A
14-Sep-18,N/A
17-Sep-18,N/A
18-Sep-18,N/A
19-Sep-18,N/A
20-Sep-18,N/A
21-Sep-18,N/A
24-Sep-18,N/A
25-Sep-18,N/A
26-Sep-18,N/A
27-Sep-18,N/A
28-Sep-18,N/A
01-Oct-18,N/A
02-Oct-18,N/A
03-Oct-18,N/A
04-Oct-18,N/A
05-Oct-18,N/A
09-Oct-18,N/A
10-Oct-18,N/A
11-Oct-18,N/A
12-Oct-18,N/A
15-Oct-18,N/A
16-Oct-18,N/A
17-Oct-18,N/A
18-Oct-18,27.35068
19-Oct-18,26.87566
22-Oct-18,25.55322
23-Oct-18,25.94796
24-Oct-18,26.36369
25-Oct-18,26.61528
26-Oct-18,25.82291
29-Oct-18,28.92972
30-Oct-18,28.93097
31-Oct-18,28.55118
01-Nov-18,28.81551
02-Nov-18,28.71935
05-Nov-18,28.15418
06-Nov-18,27.82295
07-Nov-18,27.62904
08-Nov-18,27.40976
09-Nov-18,29.3625
13-Nov-18,28.99929
14-Nov-18,29.72208
15-Nov-18,31.23969
16-Nov-18,31.51972
19-Nov-18,29.67323
20-Nov-18,29.47127
21-Nov-18,31.91601
23-Nov-18,31.88532
26-Nov-18,31.5757
27-Nov-18,30.45832
28-Nov-18,30.44424
29-Nov-18,30.67174
30-Nov-18,29.58592
03-Dec-18,30.39323
04-Dec-18,29.34088
06-Dec-18,30.10179
07-Dec-18,31.53604
10-Dec-18,31.56724
11-Dec-18,31.65179
12-Dec-18,31.16363
13-Dec-18,30.86712
14-Dec-18,30.86638
17-Dec-18,30.84514
18-Dec-18,30.15362
19-Dec-18,29.3798
20-Dec-18,29.48386
21-Dec-18,29.77123
24-Dec-18,28.50031
26-Dec-18,28.06971
27-Dec-18,27.32987
28-Dec-18,27.37344
31-Dec-18,27.45775
02-Jan-19,27.6162
03-Jan-19,28.81929
04-Jan-19,29.19951
07-Jan-19,30.78411
08-Jan-19,30.59756
09-Jan-19,30.92808
10-Jan-19,31.44021
11-Jan-19,31.94534
14-Jan-19,32.15262
15-Jan-19,32.1256
16-Jan-19,32.69997
17-Jan-19,32.27526
18-Jan-19,32.10749
22-Jan-19,32.11904
23-Jan-19,31.92347
24-Jan-19,31.58753
25-Jan-19,31.16282
28-Jan-19,30.67962
29-Jan-19,30.59669
30-Jan-19,30.28583
31-Jan-19,30.35675
01-Feb-19,30.65162
04-Feb-19,30.75317
05-Feb-19,31.06961
06-Feb-19,31.55976
07-Feb-19,31.14716
08-Feb-19,31.51383
11-Feb-19,31.12204
12-Feb-19,30.88149
13-Feb-19,30.83617
14-Feb-19,30.88426
15-Feb-19,31.08391
19-Feb-19,30.54358
20-Feb-19,29.60201
21-Feb-19,29.35051
22-Feb-19,29.36673
25-Feb-19,29.29856
26-Feb-19,28.99135
27-Feb-19,34.05643
28-Feb-19,28.66893
01-Mar-19,28.27987
04-Mar-19,27.83173
05-Mar-19,27.76583
06-Mar-19,27.40307
07-Mar-19,27.63707
08-Mar-19,27.4103
11-Mar-19,27.87062
12-Mar-19,27.90968
13-Mar-19,27.86776
14-Mar-19,27.9435
15-Mar-19,28.21915
18-Mar-19,28.52871
19-Mar-19,27.75887
20-Mar-19,27.30502
21-Mar-19,26.94205
22-Mar-19,25.95323
25-Mar-19,25.53601
26-Mar-19,25.46763
27-Mar-19,25.46964
28-Mar-19,26.32187
29-Mar-19,26.87983
01-Apr-19,27.25704
02-Apr-19,27.54695
03-Apr-19,27.14092
04-Apr-19,26.63317
05-Apr-19,26.58463
08-Apr-19,26.36052
09-Apr-19,25.99958
10-Apr-19,25.93898
11-Apr-19,25.38808
12-Apr-19,25.65554
15-Apr-19,25.70005
16-Apr-19,25.91011
17-Apr-19,26.1056
18-Apr-19,26.02944
22-Apr-19,25.89762
23-Apr-19,23.72497
24-Apr-19,25.53974
25-Apr-19,25.13121
26-Apr-19,25.37962
29-Apr-19,25.50087
30-Apr-19,25.727
01-May-19,26.12707
02-May-19,26.02827
03-May-19,25.79759
06-May-19,25.75861
07-May-19,25.65614
08-May-19,25.50371
09-May-19,25.35467
10-May-19,25.36698
13-May-19,25.35842
14-May-19,25.44899
15-May-19,25.28305
16-May-19,25.26655
17-May-19,24.9951
20-May-19,24.67024
21-May-19,24.32076
22-May-19,24.34113
23-May-19,24.21788
24-May-19,24.14618
28-May-19,24.00922
29-May-19,24.0717
30-May-19,24.20441
31-May-19,24.03084
03-Jun-19,24.18757
04-Jun-19,24.35576
05-Jun-19,24.50746
06-Jun-19,24.78558
07-Jun-19,25.3504
10-Jun-19,25.39052
11-Jun-19,25.61995
12-Jun-19,25.38607
13-Jun-19,25.12404
