"Date","OIS 6 Months Rate"
12-Jan-18,1.58945
16-Jan-18,1.59425
17-Jan-18,1.59822
18-Jan-18,1.59978
19-Jan-18,1.60531
22-Jan-18,1.60974
23-Jan-18,1.61063
24-Jan-18,1.61345
25-Jan-18,1.62488
26-Jan-18,1.62993
29-Jan-18,1.63142
30-Jan-18,1.63582
31-Jan-18,1.64321
01-Feb-18,1.65084
02-Feb-18,1.64776
05-Feb-18,1.63008
06-Feb-18,1.63446
07-Feb-18,1.64806
08-Feb-18,1.65875
09-Feb-18,1.64396
12-Feb-18,1.65532
13-Feb-18,1.66071
14-Feb-18,1.6832
15-Feb-18,1.69415
16-Feb-18,1.69938
20-Feb-18,1.70477
21-Feb-18,N/A
22-Feb-18,1.71945
23-Feb-18,1.72449
26-Feb-18,1.7239
27-Feb-18,1.73471
28-Feb-18,1.73979
01-Mar-18,1.72771
02-Mar-18,1.73315
05-Mar-18,1.74537
06-Mar-18,1.75058
07-Mar-18,1.7514
08-Mar-18,1.75338
09-Mar-18,1.7597
12-Mar-18,1.76434
13-Mar-18,1.76966
14-Mar-18,1.77022
15-Mar-18,1.78215
16-Mar-18,1.78523
19-Mar-18,1.78981
20-Mar-18,1.80266
21-Mar-18,1.80213
22-Mar-18,1.80177
23-Mar-18,1.8007
26-Mar-18,1.80664
27-Mar-18,1.8018
28-Mar-18,1.81107
29-Mar-18,1.81288
02-Apr-18,1.80805
03-Apr-18,1.81405
04-Apr-18,1.82376
05-Apr-18,1.83318
06-Apr-18,1.82185
09-Apr-18,1.83646
10-Apr-18,1.8433
11-Apr-18,1.85045
12-Apr-18,1.86031
13-Apr-18,1.86546
16-Apr-18,1.86845
17-Apr-18,1.8733
18-Apr-18,1.88787
19-Apr-18,1.88981
20-Apr-18,1.89268
23-Apr-18,1.90549
24-Apr-18,1.90658
25-Apr-18,1.91867
26-Apr-18,1.92499
27-Apr-18,1.92598
30-Apr-18,1.93132
01-May-18,1.93716
02-May-18,1.94006
03-May-18,1.93871
04-May-18,1.95202
07-May-18,1.94957
08-May-18,1.96011
09-May-18,1.96452
10-May-18,1.97038
11-May-18,1.96966
14-May-18,1.97633
15-May-18,1.98747
16-May-18,1.98784
17-May-18,1.99416
18-May-18,1.99385
21-May-18,1.99767
22-May-18,2.00177
23-May-18,1.96596
24-May-18,1.97054
25-May-18,1.96436
29-May-18,1.91342
30-May-18,1.95123
31-May-18,1.96149
01-Jun-18,1.98725
04-Jun-18,1.99591
05-Jun-18,1.992
06-Jun-18,2.00036
07-Jun-18,2.00138
08-Jun-18,1.9976
11-Jun-18,2.00983
12-Jun-18,2.0139
13-Jun-18,2.01474
14-Jun-18,2.02123
15-Jun-18,2.01998
18-Jun-18,2.02131
19-Jun-18,2.01869
20-Jun-18,2.03875
21-Jun-18,2.04633
22-Jun-18,2.04179
25-Jun-18,2.03802
