"Date","10 year note Current Mid Yield","10 year note Current Mid Price","10 year note Current Dirty Mid Price","10 year note Current Coupon","10 year note Current Maturity date","10 year note Current Issue Date","10 year note Current First Coupon Date"
09-Jan-18,2.54481,97.44531,97.79338,2.25,20271115,20171115,20180515
10-Jan-18,2.54763,97.42188,97.77616,2.25,20271115,20171115,20180515
11-Jan-18,2.53031,97.57031,97.93081,2.25,20271115,20171115,20180515
12-Jan-18,2.55074,97.39844,97.7838,2.25,20271115,20171115,20180515
16-Jan-18,2.54348,97.46094,97.85251,2.25,20271115,20171115,20180515
17-Jan-18,2.57662,97.17969,97.57748,2.25,20271115,20171115,20180515
18-Jan-18,2.60988,96.89844,97.30244,2.25,20271115,20171115,20180515
19-Jan-18,2.6379,96.66406,97.08671,2.25,20271115,20171115,20180515
22-Jan-18,2.66212,96.46094,96.8898,2.25,20271115,20171115,20180515
23-Jan-18,2.62142,96.80469,97.23977,2.25,20271115,20171115,20180515
24-Jan-18,2.65303,96.53906,96.98036,2.25,20271115,20171115,20180515
25-Jan-18,2.61976,96.82031,97.26783,2.25,20271115,20171115,20180515
26-Jan-18,2.66087,96.47656,96.94272,2.25,20271115,20171115,20180515
29-Jan-18,2.69732,96.17188,96.64425,2.25,20271115,20171115,20180515
30-Jan-18,2.72455,95.94531,96.4239,2.25,20271115,20171115,20180515
31-Jan-18,2.71905,95.99219,96.47699,2.25,20271115,20171115,20180515
01-Feb-18,2.77173,95.55469,96.04571,2.25,20271115,20171115,20180515
02-Feb-18,2.85155,94.89844,95.40811,2.25,20271115,20171115,20180515
05-Feb-18,2.79301,95.38281,95.8987,2.25,20271115,20171115,20180515
06-Feb-18,2.76486,95.61719,96.13929,2.25,20271115,20171115,20180515
07-Feb-18,2.82751,99.32896,99.32896,2.75,20280215,20180215,20180815
08-Feb-18,2.84846,99.14844,99.14844,2.75,20280215,20180215,20180815
09-Feb-18,2.83032,99.30469,99.30469,2.75,20280215,20180215,20180815
12-Feb-18,2.85391,99.10156,99.10156,2.75,20280215,20180215,20180815
13-Feb-18,2.83939,99.22656,99.22656,2.75,20280215,20180215,20180815
14-Feb-18,2.9122,98.60156,98.60156,2.75,20280215,20180215,20180815
15-Feb-18,2.89215,98.77344,98.78103,2.75,20280215,20180215,20180815
16-Feb-18,2.87585,98.91406,98.95205,2.75,20280215,20180215,20180815
20-Feb-18,2.89229,98.77344,98.81902,2.75,20280215,20180215,20180815
