"Date","Libor 10 Years Mid Rate","Libor 10 Years PVBP","Libor 10 Years Modified Duration","Libor 10 Years Convexity","Libor 10 Years Value Date","Libor 10 Years Maturity Date"
09-Jan-18,2.53227,8.96002,8.96072,0.87469,20180111,20280111
10-Jan-18,2.53016,8.96056,8.96126,0.87482,20180112,20280112
11-Jan-18,2.5203,8.96832,8.97007,0.87543,20180116,20280116
12-Jan-18,2.542,8.95351,8.95526,0.87409,20180117,20280117
16-Jan-18,2.54596,8.94963,8.95032,0.87384,20180118,20280118
17-Jan-18,2.58277,8.93493,8.93563,0.87156,20180119,20280119
18-Jan-18,2.61857,8.93173,8.93312,0.86935,20180122,20280122
19-Jan-18,2.67545,8.90673,8.90812,0.86586,20180123,20280123
22-Jan-18,2.70833,8.8892,8.88989,0.86384,20180124,20280124
23-Jan-18,2.6476,8.91204,8.91274,0.86757,20180125,20280125
24-Jan-18,2.67793,8.90197,8.90266,0.86571,20180126,20280126
25-Jan-18,2.63981,8.91985,8.92124,0.86805,20180129,20280129
26-Jan-18,2.68224,8.89541,8.89679,0.86544,20180130,20280130
29-Jan-18,2.7186,8.88767,8.88836,0.86322,20180131,20280131
30-Jan-18,2.74462,8.87608,8.87677,0.86163,20180201,20280201
31-Jan-18,2.74517,8.87178,8.87246,0.8616,20180202,20280202
01-Feb-18,2.80432,8.85671,8.85807,0.858,20180205,20280205
02-Feb-18,2.88288,8.83226,8.83362,0.85325,20180206,20280206
05-Feb-18,2.81049,8.86701,8.86769,0.85763,20180207,20280207
06-Feb-18,2.79243,8.87449,8.87519,0.85872,20180208,20280208
07-Feb-18,2.85511,8.85816,8.85885,0.85492,20180209,20280209
08-Feb-18,2.86848,8.86272,8.86411,0.85412,20180212,20280212
09-Feb-18,2.83659,8.88352,8.88491,0.85604,20180213,20280213
12-Feb-18,2.86277,8.86515,8.86584,0.85446,20180214,20280214
13-Feb-18,2.84565,8.86379,8.86448,0.8555,20180215,20280215
14-Feb-18,2.926,8.829,8.8297,0.85066,20180216,20280216
15-Feb-18,2.90611,8.8383,8.84003,0.85185,20180220,20280220
16-Feb-18,2.89355,8.84286,8.84459,0.85261,20180221,20280221
20-Feb-18,2.90735,8.83586,8.83656,0.85178,20180222,20280222
21-Feb-18,2.96719,8.81386,8.81455,0.84819,20180223,20280223
22-Feb-18,2.93147,8.82879,8.83017,0.85033,20180226,20280226
23-Feb-18,2.8756,8.84086,8.84224,0.85369,20180227,20280227
26-Feb-18,2.85909,8.85153,8.84801,0.85468,20180228,20280228
27-Feb-18,2.92207,8.8185,8.81919,0.85089,20180301,20280301
28-Feb-18,2.88059,8.82931,8.83001,0.85339,20180302,20280302
01-Mar-18,2.8089,8.85761,8.85898,0.85772,20180305,20280305
