Date,Libor 1 Day Mid Rate,Libor 1 Month Mid Rate,Libor 2 Months Mid Rate,Libor 3 Months Mid Rate,Libor 4 Months Mid Rate,Libor 5 Months Mid Rate,Libor 6 Months Mid Rate,Libor 9 Months Mid Rate,Libor 1 Year Mid Rate,Libor 18 Months Mid Rate,Libor 2 Years Mid Rate,Libor 3 Years Mid Rate,Libor 4 Years Mid Rate,Libor 5 Years Mid Rate,Libor 6 Years Mid Rate,Libor 7 Years Mid Rate,Libor 8 Years Mid Rate,Libor 9 Years Mid Rate,Libor 10 Years Mid Rate,Libor 12 Years Mid Rate,Libor 15 Years Mid Rate,Libor 20 Years Mid Rate,Libor 25 Years Mid Rate,Libor 30 Years Mid Rate,Libor 40 Years Mid Rate,Libor 50 Years Mid Rate,Libor 60 Years Mid Rate
08-Jan-18,1.74985,1.72229,1.70304,1.70542,1.72573,1.75381,1.7798,1.86699,1.94232,2.06234,2.14639,2.24191,2.29237,2.32724,2.35873,2.38847,2.41668,2.44382,2.46957,2.51508,2.56102,2.60406,2.61504,2.61228,2.59353,2.56103,2.54854
09-Jan-18,1.74766,1.7235,1.69919,1.703,1.72563,1.75462,1.7829,1.87303,1.95,2.07287,2.16025,2.26266,2.32237,2.36558,2.40383,2.44007,2.47257,2.50327,2.53227,2.57947,2.62716,2.67141,2.68317,2.68054,2.6618,2.6293,2.6168
10-Jan-18,1.71703,1.71334,1.70023,1.71,1.73377,1.76111,1.78948,1.87966,1.95816,2.08044,2.16719,2.2683,2.32629,2.36792,2.40572,2.44027,2.4729,2.50278,2.53016,2.57765,2.6247,2.66924,2.68065,2.67707,2.6577,2.62457,2.61332
11-Jan-18,1.65422,1.71225,1.70698,1.71953,1.74729,1.77712,1.80426,1.89086,1.96462,2.0823,2.16601,2.26371,2.31814,2.35698,2.39488,2.42983,2.46207,2.49243,2.5203,2.5651,2.60926,2.651,2.66087,2.65543,2.63668,2.60294,2.59168
12-Jan-18,1.666,1.68163,1.69836,1.72155,1.75141,1.78352,1.81281,1.9058,1.98397,2.10817,2.19584,2.29862,2.35614,2.39489,2.42863,2.45988,2.48912,2.51713,2.542,2.582,2.62112,2.65775,2.66438,2.65725,2.63787,2.60476,2.59351
16-Jan-18,1.66821,1.68923,1.69954,1.73307,1.7682,1.7959,1.83376,1.92405,2.00359,2.12855,2.2176,2.31814,2.37248,2.41045,2.44128,2.46996,2.4968,2.52243,2.54596,2.58446,2.62222,2.65647,2.66202,2.65447,2.63448,2.59823,2.58573
17-Jan-18,1.6677,1.70028,1.69624,1.73523,1.77328,1.79564,1.83579,1.93225,2.02006,2.15044,2.2441,2.35027,2.40754,2.44686,2.4789,2.50818,2.535,2.55991,2.58277,2.61883,2.65437,2.68596,2.68879,2.67912,2.65413,2.62038,2.60788
18-Jan-18,1.66201,1.72352,1.7146,1.74227,1.77631,1.80192,1.84244,1.93611,2.02149,2.15405,2.2487,2.3605,2.42288,2.4661,2.50287,2.53654,2.5661,2.59356,2.61857,2.65743,2.69509,2.72749,2.73008,2.7214,2.6939,2.65954,2.64766
19-Jan-18,1.71859,1.75064,1.71879,1.74621,1.78168,1.81132,1.84745,1.94296,2.02967,2.16331,2.26315,2.38727,2.45799,2.50725,2.54871,2.58648,2.6188,2.64852,2.67545,2.71644,2.7562,2.78885,2.79181,2.78302,2.75489,2.72052,2.70864
22-Jan-18,1.74702,1.73563,1.70769,1.74005,1.774,1.80264,1.8405,1.93767,2.02692,2.1675,2.27264,2.4036,2.48048,2.53446,2.57846,2.61746,2.6506,2.68074,2.70833,2.74979,2.78938,2.82229,2.82459,2.815,2.78688,2.75251,2.74126
23-Jan-18,1.74314,1.75676,1.72039,1.74269,1.7765,1.8028,1.83942,1.92911,2.01267,2.14417,2.24383,2.36552,2.43568,2.48281,2.52358,2.55993,2.59157,2.62091,2.6476,2.69106,2.73275,2.76738,2.77102,2.76339,2.7359,2.70152,2.68965
24-Jan-18,1.71207,1.73694,1.7196,1.74891,1.78773,1.81358,1.85094,1.94238,2.02902,2.16232,2.26351,2.38824,2.46073,2.51007,2.55155,2.58883,2.62057,2.6504,2.67793,2.72045,2.7614,2.79548,2.79769,2.78926,2.76301,2.72927,2.71739
25-Jan-18,1.72294,1.73354,1.73268,1.76226,1.79304,1.82371,1.86167,1.95269,2.03834,2.17099,2.26891,2.38578,2.45181,2.49264,2.52913,2.56124,2.58951,2.61591,2.63981,2.6776,2.71369,2.74228,2.74247,2.73226,2.70601,2.67225,2.66038
26-Jan-18,1.74865,1.74717,1.74501,1.77121,1.8064,1.84166,1.87662,1.97181,2.06056,2.20022,2.30319,2.4264,2.49697,2.53961,2.57608,2.60766,2.63454,2.65961,2.68224,2.71828,2.75254,2.77951,2.77844,2.76727,2.74038,2.70725,2.69537
29-Jan-18,1.74783,1.73828,1.74557,1.77341,1.8122,1.84853,1.88448,1.9793,2.0679,2.20719,2.31139,2.43734,2.51661,2.56626,2.60592,2.64058,2.6685,2.69453,2.7186,2.7556,2.79014,2.81619,2.81312,2.80129,2.77379,2.74128,2.72878
30-Jan-18,1.75622,1.74045,1.74126,1.77481,1.81014,1.84351,1.88105,1.97753,2.06756,2.20921,2.31627,2.44736,2.5256,2.57887,2.62212,2.65987,2.69045,2.71874,2.74462,2.78281,2.81827,2.84568,2.84279,2.83175,2.80425,2.77174,2.75924
31-Jan-18,1.65183,1.70691,1.73218,1.77149,1.80982,1.84339,1.88487,1.98574,2.07988,2.22216,2.33235,2.47015,2.54883,2.59953,2.63874,2.67189,2.69947,2.72394,2.74517,2.77924,2.81058,2.83284,2.82822,2.81547,2.78423,2.75174,2.73924
01-Feb-18,1.66584,1.71621,1.74162,1.78812,1.82003,1.85735,1.89991,2.00005,2.09232,2.23983,2.35433,2.5006,2.58582,2.64118,2.68613,2.72358,2.75366,2.78054,2.80432,2.84101,2.87475,2.89973,2.89621,2.88392,2.85266,2.82016,2.80766
02-Feb-18,1.65471,1.69097,1.73618,1.79008,1.82412,1.86435,1.90816,2.01283,2.10673,2.25656,2.37567,2.53361,2.62849,2.69154,2.74523,2.79009,2.82527,2.85625,2.88288,2.92132,2.95474,2.9795,2.97407,2.95989,2.92738,2.89488,2.88238
05-Feb-18,1.68388,1.71398,1.74503,1.79168,1.82542,1.86535,1.90145,1.9933,2.07604,2.21047,2.31754,2.45911,2.5516,2.61675,2.66974,2.71524,2.75224,2.78386,2.81049,2.85249,2.88943,2.91463,2.91045,2.89877,2.86627,2.83127,2.81877
06-Feb-18,1.7933,1.72764,1.75353,1.79351,1.82769,1.86743,1.90507,1.9991,2.08406,2.22032,2.32823,2.46361,2.54694,2.60474,2.65472,2.69856,2.73481,2.76607,2.79243,2.83542,2.87382,2.90122,2.89874,2.88752,2.85502,2.82002,2.80751
07-Feb-18,1.65917,1.69074,1.74762,1.80357,1.84752,1.88711,1.92714,2.02188,2.10829,2.24495,2.3559,2.4991,2.58698,2.64888,2.70317,2.75131,2.79091,2.82551,2.85511,2.8999,2.93947,2.96809,2.96585,2.95486,2.92235,2.88735,2.87484
