"Date","2yr x 5yr 1 Month Put ATMF BP Vol","2yr x 10yr 1 Month Put ATMF BP Vol","2yr x 30yr 1 Month Put ATMF BP Vol","5yr x 10yr 1 Month Put ATMF BP Vol","5yr x 30yr 1 Month Put ATMF BP Vol","10yr x 30yr 1 Month Put ATMF BP Vol"
09-Jan-18,1.22521,2.02917,2.46527,1.11448,1.87848,0.88882
10-Jan-18,1.25728,2.14044,2.58165,1.17609,1.96468,0.92357
11-Jan-18,1.22845,2.15907,2.62631,1.10832,2.03059,0.92074
12-Jan-18,1.27194,2.17061,2.63774,1.05717,2.06322,0.90194
16-Jan-18,1.1958,2.08872,2.5388,1.01059,1.99728,0.86816
17-Jan-18,1.17977,2.06208,2.48308,1.00159,1.95802,0.84804
18-Jan-18,1.35086,2.24968,2.68453,1.08239,2.08729,0.90212
19-Jan-18,1.50402,2.45684,2.87957,1.17909,2.25315,0.97526
22-Jan-18,1.47753,2.50328,2.93864,1.21562,2.31696,0.99165
23-Jan-18,1.46592,2.46655,2.93653,1.18882,2.28221,0.97888
24-Jan-18,1.49657,2.54408,3.01605,1.23295,2.33956,1.00115
25-Jan-18,1.47677,2.47564,2.89649,1.18196,2.25182,0.96955
26-Jan-18,1.61654,2.63822,3.02381,1.21726,2.35448,1.01685
29-Jan-18,1.6165,2.58976,2.97297,1.21555,2.32184,1.00809
30-Jan-18,1.72087,2.68766,3.08093,1.25707,2.39575,1.03303
31-Jan-18,1.75013,2.68157,3.06376,1.23369,2.394,1.06605
01-Feb-18,1.8277,2.81808,3.22985,1.30894,2.51155,1.09371
02-Feb-18,1.89845,3.21001,3.51077,1.36706,2.691,1.27925
05-Feb-18,1.88629,3.09552,3.43896,1.40018,2.66664,1.28423
06-Feb-18,2.1713,3.29487,3.86469,1.50119,2.76921,1.39447
07-Feb-18,2.03646,3.17504,3.7134,1.47228,2.6957,1.33929
08-Feb-18,2.31151,3.48489,4.04785,1.58705,2.93392,1.45621
09-Feb-18,2.20841,3.49614,4.04276,1.43919,2.82825,1.31289
12-Feb-18,2.03249,3.18998,3.65933,1.57471,2.56097,1.24964
13-Feb-18,2.05925,3.03973,3.39322,1.53801,2.43742,1.22447
14-Feb-18,1.95537,3.04666,3.33983,1.4992,2.49908,1.22158
15-Feb-18,1.89432,2.8586,3.12931,1.39451,2.38459,1.16909
16-Feb-18,1.75271,2.68583,2.93563,1.31509,2.231,1.08466
20-Feb-18,1.57999,2.4631,2.80696,1.27448,2.05828,1.06238
21-Feb-18,1.56277,2.3932,2.73357,1.20389,2.01145,0.97156
22-Feb-18,1.61249,2.42715,2.79209,1.21533,2.07959,0.97993
23-Feb-18,1.68347,2.54447,2.94115,1.2705,2.17496,1.03694
26-Feb-18,1.60698,2.49227,2.87536,1.25005,2.15572,1.02605
27-Feb-18,1.63502,2.49997,2.87379,1.2409,2.14373,1.06913
28-Feb-18,1.53952,2.41499,2.87896,1.17461,2.16631,1.05073
01-Mar-18,1.55843,2.48639,2.93519,1.22593,2.24884,1.01847
02-Mar-18,1.67032,2.60136,3.08992,1.29751,2.37243,1.0582
05-Mar-18,1.59624,2.45099,2.9106,1.16478,2.19955,1.05409
06-Mar-18,1.56376,2.51053,2.91861,1.20381,2.25991,1.06233
07-Mar-18,1.53366,2.48151,2.89224,1.19356,2.23745,1.03167
08-Mar-18,1.52572,2.47883,2.86209,1.19005,2.17546,1.02838
09-Mar-18,1.41264,2.30969,2.65928,1.11457,2.00709,0.96881
12-Mar-18,1.37572,2.24363,2.55932,1.06808,1.95005,0.948
13-Mar-18,1.31726,2.16491,2.44253,1.01335,1.8516,0.92953
14-Mar-18,1.33446,2.23988,2.52736,1.044,1.91546,0.99378
15-Mar-18,1.37696,2.24548,2.53856,1.05236,1.93131,1.01366
16-Mar-18,1.38479,2.25858,2.5543,1.05903,1.94451,1.02688
19-Mar-18,1.43498,2.3163,2.61445,1.08532,1.99387,1.04127
20-Mar-18,1.37759,2.26522,2.56373,1.06603,1.95392,1.03907
21-Mar-18,1.24777,2.0764,2.35819,0.97213,1.7807,0.99174
22-Mar-18,1.3724,2.21016,2.49608,1.06182,1.90627,1.05987
23-Mar-18,1.47755,2.28158,2.59181,1.12607,1.99825,1.10704
26-Mar-18,1.36889,2.20906,2.4896,1.05846,1.91018,1.06089
27-Mar-18,1.4404,2.29618,2.58515,1.09713,1.98337,1.06447
28-Mar-18,1.39802,2.29349,2.61686,1.06927,1.90973,1.05629
29-Mar-18,1.28975,2.18848,2.58191,1.00469,1.80371,1.01121
02-Apr-18,1.34599,2.25929,2.60881,1.06671,1.91999,1.04974
03-Apr-18,1.21934,2.13069,2.4806,1.01677,1.82204,1.02275
04-Apr-18,1.1669,2.09706,2.4706,1.00309,1.79944,0.99557
05-Apr-18,1.12668,2.05341,2.42528,0.96865,1.73904,0.97067
06-Apr-18,1.26002,2.16013,2.5048,1.00272,1.80197,0.99141
09-Apr-18,1.19309,2.07417,2.4112,0.96208,1.72859,0.96246
10-Apr-18,1.17158,2.03069,2.34552,0.9454,1.69187,0.95053
11-Apr-18,1.12315,1.96772,2.27254,0.93018,1.63954,0.92309
12-Apr-18,1.15519,1.96129,2.32103,0.95599,1.67545,0.95886
13-Apr-18,1.15,1.96543,2.30601,0.98099,1.67437,0.97168
16-Apr-18,1.11666,1.86584,2.15388,0.95884,1.57196,0.95012
17-Apr-18,1.11556,1.83327,2.10595,0.94256,1.5421,0.94983
18-Apr-18,1.15715,1.87151,2.1405,0.96547,1.56568,0.97951
19-Apr-18,1.24211,1.97514,2.2809,0.9812,1.65392,1.00774
20-Apr-18,1.30842,2.04372,2.37149,0.98158,1.70971,1.03131
23-Apr-18,1.31687,2.07987,2.39755,1.00008,1.7158,1.05959
24-Apr-18,1.34311,2.12621,2.43924,1.00122,1.73263,1.04808
25-Apr-18,1.23093,1.99768,2.37733,0.93269,1.67752,1.09345
26-Apr-18,1.29053,2.10356,2.41289,0.9669,1.69255,1.05628
27-Apr-18,1.33528,2.15968,2.59818,1.11172,1.81044,1.14188
30-Apr-18,1.24882,2.01638,2.3616,1.04238,1.69838,1.08473
01-May-18,1.3204,2.10724,2.47079,1.06354,1.73164,1.10514
02-May-18,1.22145,1.99499,2.35273,1.0232,1.66435,1.06723
03-May-18,1.26757,2.04247,2.35246,1.0479,1.66732,1.08782
04-May-18,1.22925,1.99983,2.29478,1.04001,1.66201,1.08321
07-May-18,1.1785,1.93037,2.2173,0.9965,1.59415,1.04696
08-May-18,1.20095,1.94614,2.22706,1.00049,1.59646,1.05666
09-May-18,1.22353,1.97571,2.26085,1.00069,1.60059,1.06555
10-May-18,1.17959,1.91226,2.17623,0.98752,1.56221,1.05011
11-May-18,1.13034,1.84451,2.0728,0.93989,1.46554,1.0295
