"Date","2yr x 5yr 1 Year Put ATMF BP Vol","2yr x 10yr 1 Year Put ATMF BP Vol","2yr x 30yr 1 Year Put ATMF BP Vol","5yr x 10yr 1 Year Put ATMF BP Vol","5yr x 30yr 1 Year Put ATMF BP Vol","10yr x 30yr 1 Year Put ATMF BP Vol"
10-Jan-18,1.2358,2.03799,2.43703,1.03342,1.80959,0.9447
11-Jan-18,1.22187,2.04742,2.4887,1.02226,1.90362,0.94342
12-Jan-18,1.21499,2.00761,2.46941,1.01084,1.89577,0.94149
16-Jan-18,1.20538,1.99464,2.45265,1.00484,1.88004,0.93618
17-Jan-18,1.20249,1.98636,2.44495,1.0006,1.87162,0.93277
18-Jan-18,1.21712,2.00925,2.47032,1.01124,1.89417,0.94237
19-Jan-18,1.26527,2.15706,2.5362,1.0432,1.95737,1.0017
22-Jan-18,1.28429,2.26525,2.64185,1.05868,1.98209,1.01611
23-Jan-18,1.2802,2.18724,2.64094,1.05931,1.98617,0.98517
24-Jan-18,1.29917,2.22854,2.68404,1.07958,2.01479,1.00288
25-Jan-18,1.30454,2.14804,2.6175,1.07859,2.00734,1.00325
26-Jan-18,1.37211,2.3172,2.78082,1.1216,2.0921,1.04421
29-Jan-18,1.42484,2.38507,2.83403,1.15155,2.1388,1.07194
30-Jan-18,1.44573,2.41176,2.85945,1.16282,2.15945,1.08155
31-Jan-18,1.45364,2.41693,2.87317,1.16635,2.16858,1.08667
01-Feb-18,1.46417,2.45036,2.91995,1.18265,2.2004,1.10079
02-Feb-18,1.58815,3.04142,3.29447,1.21312,2.42144,1.12823
05-Feb-18,1.49269,2.67724,3.06666,1.20766,2.33212,1.12204
06-Feb-18,1.60802,2.71327,3.23642,1.23918,2.29837,1.15103
07-Feb-18,1.59034,2.7404,3.20893,1.23068,2.33207,1.14127
08-Feb-18,1.62633,2.8074,3.294,1.26044,2.39128,1.16862
09-Feb-18,1.63371,2.75488,3.24439,1.27281,2.41824,1.17813
12-Feb-18,1.55784,2.72774,3.21952,1.26665,2.40499,1.17445
13-Feb-18,1.55919,2.70204,3.21068,1.26257,2.40096,1.17154
14-Feb-18,1.55586,2.7132,3.19715,1.26112,2.39763,1.17424
15-Feb-18,1.52776,2.66156,3.14627,1.23966,2.36376,1.15551
16-Feb-18,1.46881,2.58113,3.05503,1.20161,2.29009,1.12025
20-Feb-18,1.36447,2.28664,2.83234,1.1676,2.20185,1.08977
21-Feb-18,1.33598,2.25801,2.77773,1.09615,2.11324,1.01738
22-Feb-18,1.33781,2.2892,2.88202,1.09229,2.10808,1.05588
23-Feb-18,1.40622,2.30547,2.85475,1.13771,2.06198,1.07411
26-Feb-18,1.40006,2.30572,2.8342,1.13857,2.08099,1.07524
27-Feb-18,1.41107,2.31774,2.83033,1.14404,2.07288,1.08067
28-Feb-18,1.35814,2.30034,2.79373,1.13897,2.04995,1.08584
01-Mar-18,1.37084,2.31647,2.84101,1.14659,2.08085,1.09206
02-Mar-18,1.39665,2.34423,2.88629,1.1603,2.10992,1.10396
05-Mar-18,1.38737,2.32635,2.8515,1.16205,2.07738,1.11415
06-Mar-18,1.38569,2.32391,2.82916,1.16154,2.09027,1.1158
