"Date","1 Month 2 Years Payer ATMF Implied BP Vol","1 Month 5 Years Payer ATMF Implied BP Vol","1 Month 10 Years Payer ATMF Implied BP Vol","1 Month 30 Years Payer ATMF Implied BP Vol"
09-Jan-18,2.19047,2.9615,3.2789,3.50149
10-Jan-18,2.20625,3.01673,3.42881,3.65139
11-Jan-18,2.12735,2.92994,3.34202,3.56461
12-Jan-18,2.08001,2.93783,3.36569,3.58827
16-Jan-18,2.02478,2.81159,3.24734,3.46993
17-Jan-18,2.009,2.77214,3.20789,3.39891
18-Jan-18,2.009,2.98517,3.4367,3.62772
19-Jan-18,2.05634,3.19031,3.69707,3.91965
22-Jan-18,2.11818,3.1976,3.77502,3.99731
23-Jan-18,2.12634,3.1971,3.73569,3.93429
24-Jan-18,2.15693,3.25253,3.83788,4.033
25-Jan-18,2.13326,3.22096,3.75113,3.9068
26-Jan-18,2.22796,3.44972,3.94049,4.08033
29-Jan-18,2.26151,3.46646,3.93379,4.01825
30-Jan-18,2.29304,3.60848,4.06001,4.14451
31-Jan-18,2.26937,3.62426,4.04423,4.12873
01-Feb-18,2.39796,3.79878,4.24986,4.33408
02-Feb-18,2.35616,3.84517,4.33615,4.42855
05-Feb-18,2.37194,3.84517,4.39927,4.50745
06-Feb-18,2.49029,4.216,4.78588,4.92561
07-Feb-18,2.44295,4.02664,4.59652,4.73626
08-Feb-18,2.58497,4.43692,5.0068,5.14653
09-Feb-18,3.01891,4.61839,5.18827,5.32801
12-Feb-18,2.90846,4.38958,4.94368,5.06763
13-Feb-18,2.82167,4.36591,4.89634,4.95717
14-Feb-18,3.30295,4.54738,4.89634,4.72837
15-Feb-18,3.1846,4.4054,4.6202,4.45222
16-Feb-18,3.00313,4.11347,4.34407,4.17609
20-Feb-18,2.95579,4.00297,4.23358,4.06561
21-Feb-18,2.91635,3.94774,4.12301,3.94698
22-Feb-18,2.98415,4.04856,4.15238,3.96127
23-Feb-18,3.23194,4.2866,4.38266,4.19118
26-Feb-18,3.28717,4.23481,4.32298,4.09984
27-Feb-18,3.28717,4.25072,4.33105,4.10786
28-Feb-18,3.21616,4.17959,4.20449,4.04784
01-Mar-18,3.26939,4.24075,4.25291,4.09664
02-Mar-18,3.42668,4.46653,4.43133,4.27465
05-Mar-18,3.36607,4.32836,4.35472,4.20246
06-Mar-18,3.27873,4.2959,4.31481,4.13125
07-Mar-18,3.26392,4.28929,4.26782,4.08402
08-Mar-18,3.26941,4.18672,4.15736,3.94199
09-Mar-18,3.09994,4.02099,3.98376,3.76839
12-Mar-18,3.0915,3.91872,3.8535,3.65806
13-Mar-18,2.89428,3.71356,3.71152,3.51601
14-Mar-18,3.02683,3.83032,3.86365,3.64852
15-Mar-18,2.97949,3.86188,3.89519,3.68007
16-Mar-18,3.00316,3.88554,3.91885,3.70372
19-Mar-18,3.04261,3.98088,4.01427,3.79882
20-Mar-18,3.04261,3.90198,3.93537,3.71991
21-Mar-18,2.82958,3.54693,3.61188,3.39643
22-Mar-18,2.83747,3.65739,3.73812,3.52267
23-Mar-18,2.8138,3.69684,3.77757,3.56211
26-Mar-18,2.82643,3.6495,3.72392,3.52118
27-Mar-18,2.88579,3.74896,3.84314,3.66002
28-Mar-18,2.78328,3.86594,4.00406,3.79739
29-Mar-18,2.78075,3.86601,4.00409,3.84467
02-Apr-18,2.80994,3.82755,3.96494,3.80542
03-Apr-18,2.88954,3.63215,3.76968,3.61428
04-Apr-18,2.9574,3.58638,3.72392,3.56852
05-Apr-18,2.96939,3.51719,3.653,3.46556
06-Apr-18,2.96057,3.61083,3.74662,3.55924
09-Apr-18,2.88481,3.45857,3.5961,3.40914
10-Apr-18,2.79644,3.38282,3.52036,3.3334
11-Apr-18,2.7491,3.27552,3.41306,3.2261
12-Apr-18,2.7996,3.34811,3.48564,3.29868
13-Apr-18,2.7996,3.35126,3.4888,3.30184
16-Apr-18,2.70492,3.22502,3.37045,3.19138
17-Apr-18,2.57868,3.16191,3.30733,3.14404
18-Apr-18,2.58657,3.22502,3.37045,3.19927
19-Apr-18,2.60235,3.34337,3.52815,3.38853
20-Apr-18,2.63391,3.44594,3.63071,3.49109
23-Apr-18,2.62272,3.45247,3.68532,3.54604
24-Apr-18,2.55501,3.44592,3.72549,3.58587
25-Apr-18,2.56448,3.64003,3.9259,3.80522
26-Apr-18,2.44613,3.45048,3.77579,3.67096
27-Apr-18,2.3909,3.28482,3.6259,3.52895
30-Apr-18,2.3039,3.21369,3.57053,3.47353
01-May-18,2.33958,3.32607,3.69007,3.60045
02-May-18,2.28833,3.16664,3.53141,3.44228
03-May-18,2.312,3.20609,3.60242,3.51329
04-May-18,2.30411,3.15875,3.55508,3.46595
07-May-18,2.28833,3.1193,3.50774,3.41861
08-May-18,2.30096,3.15086,3.52667,3.42492
09-May-18,2.28833,3.16664,3.54876,3.44702
10-May-18,2.23152,3.07196,3.45408,3.35234
11-May-18,2.2473,3.012,3.38465,3.28291
14-May-18,2.36565,3.10257,3.40902,3.29898
15-May-18,2.53608,3.51564,3.82084,3.71082
16-May-18,2.57079,3.5002,3.85523,3.7454
