Date,2yr x 5yr 6 Months Put ATMF BP Vol,2yr x 10yr 6 Months Put ATMF BP Vol,2yr x 30yr 6 Months Put ATMF BP Vol,5yr x 10yr 6 Months Put ATMF BP Vol,5yr x 30yr 6 Months Put ATMF BP Vol,10yr x 30yr 6 Months Put ATMF BP Vol
09-Jan-18,1.2233,2.02891,2.45453,1.07319,1.93727,0.90122
10-Jan-18,1.21611,2.04797,2.47662,1.08563,1.95049,0.90977
11-Jan-18,1.22199,2.06289,2.54681,1.07122,2.02019,0.91571
12-Jan-18,1.21574,2.06472,2.53297,1.01516,1.99738,0.91567
16-Jan-18,1.20122,2.04326,2.50189,1.00519,1.97266,0.90798
17-Jan-18,1.20149,2.03997,2.49468,1.00298,1.9671,0.91218
18-Jan-18,1.24025,2.0832,2.54075,1.02079,2.00415,0.9269
19-Jan-18,1.335,2.25367,2.66423,1.08758,2.09728,0.99631
22-Jan-18,1.3466,2.35865,2.75818,1.11295,2.13438,1.01446
23-Jan-18,1.35116,2.29691,2.75967,1.11194,2.14047,0.98628
24-Jan-18,1.36298,2.35329,2.81425,1.12619,2.17787,1.0108
25-Jan-18,1.38114,2.30195,2.7562,1.12723,2.16303,1.0152
26-Jan-18,1.44004,2.42808,2.84943,1.15853,2.24027,1.05116
29-Jan-18,1.51783,2.45097,2.9129,1.18778,2.29356,1.07729
30-Jan-18,1.5469,2.48462,2.94958,1.20204,2.32203,1.08938
31-Jan-18,1.56522,2.48701,2.96723,1.19993,2.33799,1.09607
01-Feb-18,1.55166,2.49883,2.9949,1.21105,2.35537,1.10319
02-Feb-18,1.62037,3.01782,3.34592,1.25204,2.57211,1.13734
05-Feb-18,1.59731,2.78766,3.16421,1.25277,2.43076,1.13631
06-Feb-18,1.76122,2.86906,3.43926,1.31411,2.46799,1.18958
07-Feb-18,1.72078,2.81985,3.38246,1.29432,2.52176,1.16889
08-Feb-18,1.78961,2.91858,3.5034,1.33877,2.6132,1.21006
09-Feb-18,1.77802,2.88708,3.41581,1.27583,2.62878,1.22354
12-Feb-18,1.71192,2.83469,3.37968,1.34528,2.60307,1.21403
13-Feb-18,1.70594,2.77683,3.31978,1.32765,2.56388,1.1981
14-Feb-18,1.67708,2.75985,3.26621,1.31041,2.54089,1.18968
15-Feb-18,1.65183,2.69966,3.20398,1.28239,2.5033,1.16956
16-Feb-18,1.57265,2.59022,3.07573,1.23139,2.40101,1.1226
20-Feb-18,1.40795,2.32604,2.84872,1.19047,2.20847,1.08656
21-Feb-18,1.39794,2.29122,2.81145,1.12111,2.14792,1.01424
22-Feb-18,1.38218,2.30565,2.86603,1.10759,2.14868,1.02544
23-Feb-18,1.4517,2.34576,2.92515,1.14557,2.16838,1.05749
26-Feb-18,1.45597,2.3457,2.94627,1.14574,2.17964,1.05805
27-Feb-18,1.47428,2.36552,2.95792,1.15515,2.18357,1.06734
28-Feb-18,1.43377,2.36164,2.84656,1.15785,2.1361,1.06815
01-Mar-18,1.45144,2.3793,2.88516,1.16839,2.1646,1.06291
02-Mar-18,1.4826,2.41882,2.95223,1.18994,2.20906,1.08067
05-Mar-18,1.4874,2.39438,2.87797,1.1848,2.1487,1.08981
06-Mar-18,1.48503,2.40222,2.87432,1.18114,2.18991,1.08788
07-Mar-18,1.47539,2.4037,2.88741,1.18363,2.20034,1.09054
08-Mar-18,1.47284,2.38574,2.85187,1.18283,2.12706,1.09054
09-Mar-18,1.43771,2.28392,2.74139,1.15056,2.00289,1.05739
12-Mar-18,1.39253,2.24789,2.67902,1.13289,1.96856,1.04225
13-Mar-18,1.34716,2.15047,2.57883,1.09765,1.87977,1.01119
14-Mar-18,1.37401,2.19643,2.63039,1.11295,1.91034,1.02573
15-Mar-18,1.39128,2.24405,2.64687,1.12146,1.92435,1.03282
16-Mar-18,1.38967,2.25773,2.64317,1.12517,1.93685,1.03647
19-Mar-18,1.40629,2.27724,2.66622,1.13308,1.9503,1.04456
20-Mar-18,1.39181,2.25538,2.62836,1.12178,1.92558,1.03455
21-Mar-18,1.34679,2.1951,2.55589,1.08769,1.85684,1.00513
22-Mar-18,1.36035,2.19495,2.57608,1.08743,1.90237,1.02925
23-Mar-18,1.43793,2.26,2.62672,1.08697,1.95835,1.05084
26-Mar-18,1.37711,2.22032,2.57577,1.08757,1.90777,1.02896
27-Mar-18,1.38328,2.23813,2.61111,1.09696,1.93301,1.03807
28-Mar-18,1.38842,2.26938,2.62798,1.11247,1.93048,1.03799
29-Mar-18,1.35892,2.26584,2.59856,1.11104,1.89794,1.0211
02-Apr-18,1.4032,2.27487,2.67549,1.10157,1.93325,1.04135
03-Apr-18,1.36792,2.23933,2.62769,1.08397,1.8933,1.02598
04-Apr-18,1.34356,2.21523,2.61252,1.07238,1.87499,1.01555
05-Apr-18,1.28456,2.15803,2.54576,1.05268,1.82802,0.99646
06-Apr-18,1.34371,2.20487,2.55779,1.06127,1.86231,1.00412
09-Apr-18,1.32136,2.16552,2.51605,1.04529,1.83174,0.98918
10-Apr-18,1.31343,2.14692,2.4821,1.03672,1.81418,0.98141
11-Apr-18,1.28794,2.10862,2.4341,1.01775,1.77767,0.9646
12-Apr-18,1.28814,2.11659,2.43864,1.02557,1.77485,0.97191
13-Apr-18,1.27765,2.10308,2.40536,1.01896,1.75776,0.96675
16-Apr-18,1.27025,2.04268,2.3562,1.00358,1.72468,0.95348
17-Apr-18,1.24275,1.97004,2.27876,0.97681,1.67497,0.92765
18-Apr-18,1.25993,1.98762,2.29025,0.98432,1.68177,0.93534
19-Apr-18,1.29787,2.03778,2.36576,1.0082,1.72931,0.95664
