"Date","10 year note Current 1M Forward Yield","10 year note Current 3M Forward Yield","10 year note Current 6M Forward Yield","10 year note Current Mid Price","Libor 10 Years Mid Rate","Libor 2 Years Mid Rate","2 year note Current Mid Yield"
11-Jan-18,2.54278,2.57019,2.60435,97.57031,2.5203,2.16601,1.97048
12-Jan-18,2.56343,2.59128,2.62604,97.39844,2.542,2.19584,1.99964
16-Jan-18,2.5561,2.58381,2.61835,97.46094,2.54596,2.2176,2.01623
17-Jan-18,2.58957,2.61794,2.65349,97.17969,2.58277,2.2441,2.04109
18-Jan-18,2.62667,2.65293,2.68877,96.89844,2.61857,2.2487,2.04131
19-Jan-18,2.65498,2.68183,2.7185,96.66406,2.67545,2.26315,2.05853
22-Jan-18,2.67945,2.70677,2.74419,96.46094,2.70833,2.27264,2.07121
23-Jan-18,2.63585,2.66119,2.70104,96.80469,2.6476,2.24383,2.05742
24-Jan-18,2.66878,2.69227,2.72091,96.53906,2.67793,2.26351,2.08217
25-Jan-18,2.63518,2.65803,2.68562,96.82031,2.63981,2.26891,2.08217
26-Jan-18,2.67621,2.7004,2.72923,96.47656,2.68224,2.30319,2.1183
29-Jan-18,2.71248,2.73794,2.76789,96.17188,2.7186,2.31139,2.12232
30-Jan-18,2.73876,2.76331,2.79373,95.94531,2.74462,2.31627,2.12232
31-Jan-18,2.73367,2.75767,2.7879,95.99219,2.74517,2.33235,2.14258
01-Feb-18,2.78842,2.81484,2.84987,95.55469,2.80432,2.35433,2.15888
02-Feb-18,2.87057,2.89705,2.9376,94.89844,2.88288,2.37567,2.15139
05-Feb-18,2.8115,2.8368,2.8755,95.38281,2.81049,2.31754,2.08276
06-Feb-18,2.7831,2.80783,2.84565,95.61719,2.79243,2.32823,2.08894
07-Feb-18,2.83672,2.85943,2.88991,99.32896,2.85511,2.3559,2.13166
08-Feb-18,2.85827,2.88108,2.91248,99.14844,2.86848,2.36707,2.13183
09-Feb-18,2.84125,2.86392,2.89503,99.30469,2.83659,2.32899,2.0589
12-Feb-18,2.86514,2.88801,2.91922,99.10156,2.86277,2.35364,2.0753
13-Feb-18,2.85102,2.87319,2.90421,99.22656,2.84565,2.3604,2.10402
14-Feb-18,2.94048,2.98189,3.02003,98.60156,2.926,2.43518,2.16976
15-Feb-18,2.92025,2.96127,2.99876,98.77344,2.90611,2.4616,2.18232
16-Feb-18,2.90497,2.94677,2.98149,98.91406,2.89355,2.45694,2.18741
20-Feb-18,2.92157,2.96372,2.99896,98.77344,2.90735,2.49024,2.25869
21-Feb-18,2.96965,3.00985,3.04954,98.36719,2.96719,2.53172,2.26808
22-Feb-18,2.94291,2.97929,3.01872,98.57812,2.93147,2.5063,2.25201
23-Feb-18,2.89534,2.9326,2.96824,98.96094,2.8756,2.48483,2.23996
26-Feb-18,2.88249,2.91951,2.95472,99.07031,2.85909,2.49441,2.22791
27-Feb-18,2.93476,2.97084,3.00818,98.64844,2.92207,2.5458,2.26406
28-Feb-18,2.89242,2.92733,2.96612,98.99219,2.88059,2.53545,2.26004
01-Mar-18,2.82629,2.84316,2.89499,99.55469,2.8089,2.46266,2.20368
02-Mar-18,2.88098,2.91469,2.95305,99.08594,2.86616,2.4879,2.23576
05-Mar-18,2.90038,2.93581,2.97638,98.89844,2.88697,2.50759,2.23978
06-Mar-18,2.89806,2.9294,2.96667,98.91406,2.89118,2.52285,2.2438
07-Mar-18,2.90314,2.9351,2.97254,98.86719,2.90169,2.53607,2.25189
08-Mar-18,2.88629,2.91665,2.95507,99.00781,2.89403,2.54435,2.25188
09-Mar-18,2.91186,2.93975,2.97812,98.77344,2.91798,2.56662,2.26409
12-Mar-18,2.88783,2.91525,2.95284,98.97656,2.89916,2.57831,2.26409
13-Mar-18,2.86569,2.89267,2.92955,99.16406,2.89471,2.58777,2.26
14-Mar-18,2.83212,2.85693,2.89662,99.42969,2.85957,2.5719,2.26
15-Mar-18,2.8395,2.86447,2.90438,99.36719,2.86241,2.58224,2.28463
16-Mar-18,2.86355,2.88903,2.92968,99.16406,2.89283,2.61376,2.29298
19-Mar-18,2.85988,2.88529,2.92582,99.19531,2.88007,2.60071,2.30128
20-Mar-18,2.89389,2.91928,2.95697,98.88281,2.9166,2.64084,2.33444
21-Mar-18,2.91899,2.9449,2.98338,98.67188,2.95184,2.64869,2.31382
22-Mar-18,2.84398,2.86838,2.90447,99.30469,2.87475,2.60902,2.28486
23-Mar-18,2.8385,2.86281,2.8987,99.35156,2.86421,2.59471,2.25999
26-Mar-18,2.85331,2.87792,2.91427,99.22656,2.87274,2.61017,2.31187
27-Mar-18,2.79981,2.82335,2.858,99.67969,2.81111,2.55344,2.27411
28-Mar-18,2.784,2.80547,2.83879,99.79688,2.79614,2.56746,2.28416
29-Mar-18,2.75336,2.77423,2.80656,100.05469,2.77865,2.57951,2.27212
02-Apr-18,2.74053,2.76114,2.79306,100.16406,2.76447,2.55725,2.2439
03-Apr-18,2.79369,2.81364,2.84406,99.72656,2.80793,2.59516,2.28427
04-Apr-18,2.80107,2.82118,2.85182,99.66406,2.82047,2.5999,2.28835
05-Apr-18,2.84359,2.86457,2.89654,99.30469,2.86485,2.62373,2.30459
06-Apr-18,2.78636,2.80619,2.83633,99.78906,2.80567,2.59146,2.27221
09-Apr-18,2.79744,2.8175,2.84797,99.69531,2.80911,2.59198,2.28445
10-Apr-18,2.80853,2.82882,2.85964,99.60156,2.82132,2.61288,2.31305
11-Apr-18,2.80115,2.8213,2.85187,99.66406,2.82398,2.62182,2.30903
12-Apr-18,2.84388,2.86666,2.89863,99.28906,2.8718,2.66276,2.34595
13-Apr-18,2.83951,2.86107,2.89283,99.33594,2.86642,2.68202,2.36687
16-Apr-18,2.84235,2.86108,2.88581,99.30469,2.86128,2.68555,2.37525
17-Apr-18,2.82382,2.84217,2.86631,99.46094,2.84918,2.68333,2.38367
18-Apr-18,2.87776,2.89722,2.92305,99.00781,2.89513,2.71581,2.4252
19-Apr-18,2.92451,2.94493,2.97223,98.61719,2.93761,2.7232,2.43371
20-Apr-18,2.9622,2.98341,3.01186,98.30469,2.98492,2.73942,2.45524
23-Apr-18,2.98486,3.00654,3.03569,98.11719,2.99981,2.74704,2.47219
24-Apr-18,2.99435,3.01624,3.04568,98.03906,3.00547,2.74117,2.47913
25-Apr-18,3.03605,3.05879,3.08954,97.69531,3.05557,2.76277,2.48578
26-Apr-18,3.00179,3.02409,3.05375,97.97656,3.01936,2.74564,2.48981
27-Apr-18,2.96797,2.98968,3.01823,98.25781,2.9859,2.73565,2.48175
30-Apr-18,2.9477,2.96889,2.99675,98.42969,2.9667,2.74778,2.48591
