"Date","5yr x 10yr 1 Month Put ATMF BP Vol","5yr x 10yr 3 Months Put ATMF BP Vol","5yr x 10yr 6 Months Put ATMF BP Vol","5yr x 10yr 9 Months Put ATMF BP Vol","5yr x 10yr 1 Year Put ATMF BP Vol","5yr x 10yr 18 Months Put ATMF BP Vol","5yr x 10yr 2 Years Put ATMF BP Vol","5yr x 10yr 3 Years Put ATMF BP Vol","5yr x 10yr 4 Years Put ATMF BP Vol","5yr x 10yr 5 Years Put ATMF BP Vol"
09-Jan-18,1.11448,1.12025,1.07319,1.12646,1.02369,0.98656,0.96259,0.93292,0.92059,0.92307
10-Jan-18,1.17609,1.13333,1.08563,1.13697,1.03342,0.99508,0.97041,0.94036,0.92423,0.92395
11-Jan-18,1.10832,1.07271,1.07122,1.12347,1.02226,0.98902,0.96849,0.93569,0.92319,0.91604
12-Jan-18,1.05717,0.99477,1.01516,1.08899,1.01084,0.99684,0.97686,0.93594,0.92252,0.9145
16-Jan-18,1.01059,0.98416,1.00519,1.07925,1.00484,0.99121,0.97166,0.93182,0.91866,0.91063
17-Jan-18,1.00159,0.98173,1.00298,1.07549,1.0006,0.9866,0.96633,0.92901,0.91705,0.91081
18-Jan-18,1.08239,1.02051,1.02079,1.09165,1.01124,0.99587,0.97472,0.93362,0.91919,0.91083
19-Jan-18,1.17909,1.11702,1.08758,1.14345,1.0432,1.02043,0.99365,0.95302,0.92577,0.91478
22-Jan-18,1.21562,1.16467,1.11295,1.16316,1.05868,1.03138,0.97222,0.92714,0.89253,0.8753
23-Jan-18,1.18882,1.15576,1.11194,1.16325,1.05931,1.03265,0.9756,0.92894,0.89449,0.87597
24-Jan-18,1.23295,1.15836,1.12619,1.18043,1.07958,1.04883,0.98789,0.92761,0.89889,0.87692
25-Jan-18,1.18196,1.13984,1.12723,1.17928,1.07859,1.05155,0.99645,0.93875,0.91201,0.89188
26-Jan-18,1.21726,1.16644,1.15853,1.22026,1.1216,1.08826,1.01977,0.96058,0.93273,0.92327
29-Jan-18,1.21555,1.19659,1.18778,1.25294,1.15155,1.11713,1.04815,0.98637,0.9569,0.93541
30-Jan-18,1.25707,1.20615,1.20204,1.26728,1.16282,1.12555,1.06038,0.99546,0.96438,0.94127
31-Jan-18,1.23369,1.19967,1.19993,1.26819,1.16635,1.13217,1.0547,0.9936,0.96523,0.94581
01-Feb-18,1.30894,1.2332,1.21105,1.28311,1.18265,1.14563,1.07113,1.00889,0.98112,0.96218
02-Feb-18,1.36706,1.28804,1.25204,1.32172,1.21312,1.17592,1.10884,1.03572,1.00305,0.98099
05-Feb-18,1.40018,1.30512,1.25277,1.31941,1.20766,1.16829,1.10832,1.03398,1.00135,0.98015
06-Feb-18,1.50119,1.385,1.31411,1.36844,1.23918,1.19231,1.12918,1.04785,1.01318,0.98895
07-Feb-18,1.47228,1.36094,1.29432,1.35399,1.23068,1.18086,1.12287,1.03913,1.0011,0.97392
08-Feb-18,1.58705,1.42968,1.33877,1.39386,1.26044,1.20487,1.14417,1.05513,1.01213,0.98004
09-Feb-18,1.43919,1.31219,1.27583,1.37212,1.27281,1.21365,1.16088,1.06645,1.02134,0.9866
12-Feb-18,1.57471,1.43426,1.34528,1.40103,1.26665,1.21282,1.15696,1.06574,1.0207,0.98752
13-Feb-18,1.53801,1.40386,1.32765,1.38954,1.26257,1.21157,1.15518,1.06853,1.02361,0.98936
14-Feb-18,1.4992,1.36729,1.31041,1.38165,1.26112,1.21547,1.1521,1.0717,1.02643,0.99312
15-Feb-18,1.39451,1.31179,1.28239,1.35553,1.23966,1.20362,1.13969,1.06581,1.024,0.9928
16-Feb-18,1.31509,1.24997,1.23139,1.30819,1.20161,1.16966,1.11332,1.04763,1.0126,0.98083
20-Feb-18,1.27448,1.20562,1.19047,1.26737,1.1676,1.13741,1.07931,1.01755,0.98867,0.96136
21-Feb-18,1.20389,1.1314,1.12111,1.20157,1.09615,1.06274,1.00142,1.01013,0.98245,0.95521
22-Feb-18,1.21533,1.12798,1.10759,1.19294,1.09229,1.05766,1.04825,1.00748,0.98029,0.95293
23-Feb-18,1.2705,1.17214,1.14557,1.2358,1.13771,1.10379,1.07446,1.01349,0.98565,0.95794
26-Feb-18,1.25005,1.16495,1.14574,1.23643,1.13857,1.10408,1.07489,1.01414,0.98657,0.957
27-Feb-18,1.2409,1.18111,1.15515,1.24369,1.14404,1.11203,1.07373,1.0142,0.98562,0.95926
28-Feb-18,1.17461,1.17433,1.15785,1.23744,1.13897,1.11666,1.0712,1.01209,0.98297,0.95577
01-Mar-18,1.22593,1.1848,1.16839,1.25292,1.14659,1.11957,1.08355,1.02014,0.98954,0.96072
02-Mar-18,1.29751,1.21729,1.18994,1.27254,1.1603,1.13065,1.09309,1.02796,0.99591,0.96584
05-Mar-18,1.16478,1.16058,1.1848,1.27253,1.16205,1.12023,1.09708,1.03217,0.99938,0.96919
06-Mar-18,1.20381,1.17135,1.18114,1.26984,1.16154,1.13401,1.09718,1.03631,1.00523,0.97499
07-Mar-18,1.19356,1.1584,1.18363,1.27596,1.16993,1.1417,1.10723,1.0459,1.01488,0.98332
08-Mar-18,1.19005,1.15735,1.18283,1.27516,1.16972,1.1361,1.10405,1.04683,1.0158,0.98395
09-Mar-18,1.11457,1.10596,1.15056,1.24322,1.1416,1.12987,1.09561,1.0344,1.007,0.98952
12-Mar-18,1.06808,1.08583,1.13289,1.2254,1.12773,1.1183,1.08299,1.02515,1.00086,0.98594
13-Mar-18,1.01335,1.05653,1.09765,1.19033,1.09888,1.0771,1.06186,1.00805,0.98352,0.97209
14-Mar-18,1.044,1.08478,1.11295,1.19325,1.08813,1.08216,1.04919,1.00775,0.98274,0.97251
15-Mar-18,1.05236,1.08658,1.12146,1.21215,1.11714,1.09465,1.06317,1.0206,0.99284,0.97987
16-Mar-18,1.05903,1.09855,1.12517,1.21702,1.12276,1.10173,1.06907,1.02751,0.99934,0.97408
19-Mar-18,1.08532,1.12133,1.13308,1.22445,1.12907,1.10526,1.07022,1.02886,1.00297,0.97893
20-Mar-18,1.06603,1.10243,1.12178,1.21457,1.12277,1.10063,1.06427,1.02583,1.00027,0.97666
21-Mar-18,0.97213,1.05437,1.08769,1.18226,1.09719,1.08179,1.04997,1.01492,0.99071,0.96937
22-Mar-18,1.06182,1.06702,1.08743,1.17475,1.08011,1.07347,1.06028,1.01732,0.99341,0.97213
23-Mar-18,1.12607,1.10424,1.08697,1.1693,1.06385,1.04955,1.06825,1.02098,0.99563,0.97281
26-Mar-18,1.05846,1.07522,1.08757,1.17565,1.08181,1.07438,1.05025,1.01736,0.99232,0.98241
27-Mar-18,1.09713,1.10464,1.09696,1.19203,1.10046,1.08959,1.06821,1.03217,1.00371,0.9911
28-Mar-18,1.06927,1.08215,1.11247,1.19635,1.09338,1.08975,1.06213,1.02848,1.00242,0.99247
29-Mar-18,1.00469,1.04551,1.11104,1.19151,1.08445,1.08999,1.05043,1.02836,1.00238,0.99221
02-Apr-18,1.06671,1.09091,1.10157,1.19057,1.09284,1.08428,1.06283,1.03124,1.00608,0.97424
03-Apr-18,1.01677,1.05972,1.08397,1.17444,1.08147,1.07544,1.05276,1.02617,1.00201,0.97188
04-Apr-18,1.00309,1.04038,1.07238,1.16283,1.07159,1.06682,1.04466,1.01874,0.99471,0.96452
05-Apr-18,0.96865,1.01497,1.05268,1.14646,1.06005,1.05867,1.0439,1.01637,0.99229,0.96217
06-Apr-18,1.00272,1.04346,1.06127,1.15158,1.06092,1.05677,1.03845,1.01115,0.98963,0.9601
09-Apr-18,0.96208,1.01778,1.04529,1.1398,1.05488,1.05295,1.03607,1.00888,0.98781,0.95921
10-Apr-18,0.9454,0.99697,1.03672,1.12949,1.04492,1.04342,1.02608,1.00198,0.98198,0.95427
11-Apr-18,0.93018,0.97204,1.01775,1.11353,1.03526,1.03616,1.01847,0.99757,0.97944,0.95351
12-Apr-18,0.95599,0.98802,1.02557,1.11938,1.03986,1.03957,1.01708,0.99768,0.97879,0.95257
13-Apr-18,0.98099,0.9873,1.01896,1.11352,1.03618,1.03649,1.01198,0.9942,0.97635,0.95019
16-Apr-18,0.95884,0.97264,1.00358,1.10028,1.02803,1.02019,1.00279,0.98629,0.96874,0.94346
17-Apr-18,0.94256,0.94888,0.97681,1.06961,0.99842,0.99597,0.98271,0.96854,0.95395,0.93171
18-Apr-18,0.96547,0.95981,0.98432,1.07725,1.00581,1.00139,0.98069,0.96801,0.95334,0.93182
