"Date","TY: 10 Yr Tsy Note Rolling Front Yield of CTD Bond","TY: 10 Yr Tsy Note Rolling Front Clean Price of CTD Bond","TY: 10 Yr Tsy Note Rolling Front Term Repo Rate","TY: 10 Yr Tsy Note Rolling Front Basis of CTD Bond","TY: 10 Yr Tsy Note Rolling Front BNOC of CTD Bond","TY: 10 Yr Tsy Note Rolling Front CTD Bond","TY: 10 Yr Tsy Note Rolling Front Factor of CTD Bond","TY: 10 Yr Tsy Note Rolling Front Fwd Yld on CTD Bond","TY: 10 Yr Tsy Note Rolling Front Term RP to Delivery","TY: 10 Yr Tsy Note Rolling Front Term RP to Opt Expn","TY: 10 Yr Tsy Note Rolling Front CTD Bond if Ylds Fall","TY: 10 Yr Tsy Note Rolling Front CTD Bond if Yields Rise"
10-Jan-18,2.46437,98.65625,1.57757,0.18245,-0.01237,21411.24,0.8006,2.50103,N/A,1.57757,N/A,21811.24
11-Jan-18,2.45188,98.73438,1.59032,0.1605,-0.03155,21411.24,0.8006,2.48442,N/A,1.59032,N/A,21811.24
12-Jan-18,2.47736,98.57812,1.59835,0.15436,-0.02793,21411.24,0.8006,2.50934,N/A,1.59835,N/A,21811.24
16-Jan-18,2.4724,98.60938,1.59487,0.14808,-0.03158,21411.24,0.8006,2.5031,N/A,1.59487,N/A,21811.24
17-Jan-18,2.5129,98.35938,1.59544,0.16078,-0.01698,21411.24,0.8006,2.54679,N/A,1.59544,N/A,21811.24
18-Jan-18,2.53832,98.20312,1.59716,0.16715,-0.00846,21411.24,0.8006,2.5739,N/A,1.59716,N/A,21811.24
19-Jan-18,2.56658,98.03125,1.60459,0.13288,-0.03547,21411.24,0.8006,2.59688,N/A,1.60459,N/A,21811.24
22-Jan-18,2.58961,97.89062,1.60197,0.14237,-0.02376,21411.24,0.8006,2.622,N/A,1.60197,N/A,21811.24
23-Jan-18,2.54647,98.15625,1.60598,0.1453,-0.01763,21411.24,0.8006,2.57808,N/A,1.60598,N/A,21811.24
24-Jan-18,2.57712,97.96875,1.60912,0.13293,-0.02788,21411.24,0.8006,2.60734,N/A,1.60912,N/A,21811.24
25-Jan-18,2.54479,98.16797,1.61655,0.14451,-0.01327,21411.24,0.8006,2.57599,N/A,1.61655,N/A,21811.24
26-Jan-18,2.59548,97.85938,1.62077,0.13614,-0.01464,21411.24,0.8006,2.62618,N/A,1.62077,N/A,21811.24
29-Jan-18,2.62886,97.65625,1.56602,0.13316,-0.01549,21411.24,0.8006,2.65974,N/A,1.56602,N/A,21811.24
30-Jan-18,2.65209,97.51562,1.56378,0.13014,-0.01623,21411.24,0.8006,2.68286,N/A,1.56378,N/A,21811.24
31-Jan-18,2.66251,97.45312,1.57,0.11768,-0.02624,21411.24,0.8006,2.69128,N/A,1.57,N/A,21811.24
01-Feb-18,2.70901,97.17188,1.56502,0.12414,-0.00509,21411.24,0.8006,2.73976,N/A,1.56502,N/A,21811.24
02-Feb-18,2.7768,96.76562,1.53856,0.10568,-0.0173,21411.24,0.8006,2.80536,N/A,1.53856,N/A,21811.24
05-Feb-18,2.70453,97.20312,1.58988,0.11787,-0.00185,21411.24,0.8006,2.73342,N/A,1.58988,N/A,21811.24
06-Feb-18,2.67375,97.39062,1.59204,0.13023,0.01325,21411.24,0.8006,2.70391,N/A,1.59204,N/A,21811.24
07-Feb-18,2.74109,96.98438,1.5734,0.11177,-0.00365,21411.24,0.8006,2.76935,N/A,1.5734,N/A,21811.24
08-Feb-18,2.75683,96.89062,1.45839,0.10559,-0.00764,21411.24,0.8006,2.78416,N/A,1.45839,N/A,21811.24
09-Feb-18,2.7211,97.10938,1.4761,0.09917,-0.00656,21411.24,0.8006,2.74609,N/A,1.4761,N/A,21811.24
12-Feb-18,2.7576,96.89062,1.54391,0.10559,0.00184,21411.24,0.8006,2.78416,N/A,1.54391,N/A,21811.24
13-Feb-18,2.7474,96.95312,1.56606,0.08052,-0.02075,21411.24,0.8006,2.76935,N/A,1.56606,N/A,21811.24
14-Feb-18,2.83619,96.42188,1.1601,0.08718,-0.01262,21411.24,0.8006,2.86061,N/A,1.1601,N/A,21811.24
15-Feb-18,2.82073,96.51562,1.58632,0.08085,-0.01641,21411.24,0.8006,2.84359,N/A,1.58632,N/A,21811.24
16-Feb-18,2.80592,96.60938,1.59938,0.07453,-0.01307,21411.24,0.8006,2.82658,N/A,1.59938,N/A,N/A
