"Date","TY: 10 Yr Tsy Note Rolling Front Open","TY: 10 Yr Tsy Note Rolling Front Contract Fair Value","TY: 10 Yr Tsy Note Rolling Front Implied Volatility","TY: 10 Yr Tsy Note Rolling Front Basis of CTD Bond","TY: 10 Yr Tsy Note Rolling Front Term Repo Rate","TY: 10 Yr Tsy Note Rolling Front CTD Bond","TY: 10 Yr Tsy Note Rolling Front Clean Price of CTD Bond","TY: 10 Yr Tsy Note Rolling Front Bond Equivalent Yield"
09-Jan-18,123.46875,123.03956,3.49684,0.1918,1.57807,21411.24,98.70312,N/A
10-Jan-18,122.98438,122.98431,3.49262,0.18245,1.57757,21411.24,98.65625,N/A
11-Jan-18,122.96875,123.08532,3.42497,0.1605,1.59032,21411.24,98.73438,N/A
12-Jan-18,122.98438,122.90223,3.3846,0.15436,1.59835,21411.24,98.57812,N/A
16-Jan-18,122.92188,122.94465,3.41159,0.14808,1.59487,21411.24,98.60938,N/A
17-Jan-18,122.98438,122.63474,3.3944,0.16078,1.59544,21411.24,98.35938,N/A
18-Jan-18,122.54688,122.44216,3.6199,0.16715,1.59716,21411.24,98.20312,N/A
19-Jan-18,122.375,122.23645,3.68327,0.13288,1.60459,21411.24,98.03125,N/A
22-Jan-18,122.28125,122.06338,3.89948,0.14237,1.60197,21411.24,97.89062,N/A
23-Jan-18,122.17188,122.39936,3.78667,0.1453,1.60598,21411.24,98.15625,N/A
24-Jan-18,122.48438,122.16788,4.04816,0.13293,1.60912,21411.24,97.96875,N/A
25-Jan-18,122.25,122.42057,3.63233,0.14451,1.61655,21411.24,98.16797,N/A
26-Jan-18,122.4375,122.04394,4.05773,0.13614,1.62077,21411.24,97.85938,N/A
29-Jan-18,122.04688,121.79299,4.05602,0.13316,1.56602,21411.24,97.65625,N/A
30-Jan-18,121.8125,121.6201,4.32228,0.13014,1.56378,21411.24,97.51562,N/A
31-Jan-18,121.65625,121.5453,4.16954,0.11768,1.57,21411.24,97.45312,N/A
01-Feb-18,121.67188,121.21169,4.21508,0.12414,1.56502,21411.24,97.17188,N/A
02-Feb-18,121.09375,120.71179,4.26484,0.10568,1.53856,21411.24,96.76562,N/A
05-Feb-18,120.8125,121.26284,4.58638,0.11787,1.58988,21411.24,97.20312,N/A
06-Feb-18,121.95312,121.49942,5.00925,0.13023,1.59204,21411.24,97.39062,N/A
07-Feb-18,121.20312,120.99385,4.79714,0.11177,1.5734,21411.24,96.98438,N/A
08-Feb-18,121.07812,120.88047,5.49859,0.10559,1.45839,21411.24,96.89062,N/A
09-Feb-18,121.03125,121.16232,5.35711,0.09917,1.4761,21411.24,97.10938,N/A
12-Feb-18,120.9375,120.89126,5.10775,0.10559,1.54391,21411.24,96.89062,N/A
13-Feb-18,120.84375,120.97257,5.28355,0.08052,1.56606,21411.24,96.95312,N/A
14-Feb-18,121.03125,120.31223,4.85811,0.08718,1.1601,21411.24,96.42188,N/A
15-Feb-18,120.40625,120.4326,4.05679,0.08085,1.58632,21411.24,96.51562,N/A
16-Feb-18,120.3125,120.5618,3.84524,0.07453,1.59938,21411.24,96.60938,N/A
20-Feb-18,120.5625,120.46703,4.48157,0.07146,1.52646,21411.24,96.53125,N/A
21-Feb-18,120.48438,120.17684,5.47817,0.06225,1.39893,21411.24,96.29688,N/A
22-Feb-18,120.14062,120.41218,4.49065,0.07462,1.46809,21411.24,96.48438,N/A
23-Feb-18,120.375,120.73576,N/A,0.07443,N/A,21411.24,96.73438,N/A
26-Feb-18,120.73438,120.83658,N/A,0.0775,N/A,21411.24,96.8125,N/A
27-Feb-18,120.76562,120.39014,N/A,0.06839,N/A,21411.24,96.45312,N/A
28-Feb-18,120.45312,120.62757,N/A,0.04323,N/A,21411.24,96.64062,N/A
01-Mar-18,120.6875,121.21666,N/A,0.07415,N/A,21411.24,97.10938,N/A
02-Mar-18,121.17188,120.79569,N/A,0.05565,N/A,21411.24,96.76562,N/A
05-Mar-18,120.78125,120.6619,N/A,0.05886,N/A,21411.24,96.65625,N/A
06-Mar-18,120.65625,120.68314,N/A,0.06197,N/A,21411.24,96.67188,N/A
07-Mar-18,120.71875,120.64828,N/A,0.05574,N/A,21411.24,96.64062,N/A
08-Mar-18,120.64062,120.76843,N/A,0.0244,N/A,21411.24,96.73438,N/A
09-Mar-18,120.8125,120.65934,N/A,0.04323,N/A,21411.24,96.64062,N/A
12-Mar-18,120.60938,120.81929,N/A,0.01812,N/A,21411.24,96.76562,N/A
13-Mar-18,120.82812,120.90036,N/A,0.01807,N/A,21411.24,96.82812,N/A
14-Mar-18,120.98438,121.1181,N/A,0.01482,N/A,21411.24,97,N/A
15-Mar-18,121.09375,121.06245,N/A,0.00547,N/A,21411.24,96.95312,N/A
16-Mar-18,121.07812,120.91637,N/A,-0.02147,N/A,21811.24,96.01562,N/A
19-Mar-18,120.96875,120.99494,N/A,0.01802,N/A,21411.24,96.89062,N/A
