"Date","1 Month 2 Years Payer ATMF Implied BP Vol","3 Month 2 Years Payer ATMF Implied BP Vol","6 Month 2 Years Payer ATMF Implied BP Vol","9 Month 2 Years Payer ATMF Implied BP Vol","1 Year 2 Years Payer ATMF Implied BP Vol","18 Month 2 Years Payer ATMF Implied BP Vol","2 Years 2 Years Payer ATMF Implied BP Vol","3 Years 2 Years Payer ATMF Implied BP Vol","4 Years 2 Years Payer ATMF Implied BP Vol","5 Years 2 Years Payer ATMF Implied BP Vol"
09-Jan-18,2.19047,2.53137,2.80901,3.02987,3.25137,3.52511,3.73573,4.08268,4.27401,4.36536
10-Jan-18,2.20625,2.54702,2.83269,3.04567,3.25944,3.5409,3.75953,4.10635,4.28979,4.37325
11-Jan-18,2.12735,2.51568,2.78535,3.00673,3.22788,3.51737,3.74375,4.0669,4.27007,4.36536
12-Jan-18,2.08001,2.52103,2.75403,2.97517,3.19632,3.4937,3.72797,4.05112,4.25034,4.35747
16-Jan-18,2.02478,2.4658,2.70668,2.93572,3.16476,3.46608,3.7043,4.02745,4.23062,4.34169
17-Jan-18,2.009,2.44899,2.69058,2.91539,3.14084,3.44241,3.68063,4.00378,4.21089,4.32591
18-Jan-18,2.009,2.45679,2.6984,2.93506,3.17265,3.47003,3.7043,4.02745,4.22273,4.3338
19-Jan-18,2.05634,2.52103,2.73036,2.97123,3.2121,3.51737,3.75953,4.07479,4.25429,4.34958
22-Jan-18,2.11818,2.48947,2.73036,2.97517,3.21999,3.53709,3.79109,4.10635,4.2819,4.37325
23-Jan-18,2.12634,2.49736,2.73036,2.97123,3.2121,3.52131,3.76742,4.09846,4.2819,4.37325
24-Jan-18,2.15693,2.52892,2.76981,3.00673,3.24366,3.54893,3.79109,4.13002,4.30163,4.38903
25-Jan-18,2.13326,2.50525,2.73825,2.98701,3.23577,3.55287,3.80687,4.13791,4.31346,4.40481
26-Jan-18,2.22796,2.59993,2.83293,3.09352,3.35412,3.6515,3.88577,4.24837,4.41998,4.50738
29-Jan-18,2.26151,2.58931,2.88776,3.14089,3.39355,3.70278,3.94888,4.34288,4.51852,4.60986
30-Jan-18,2.29304,2.6201,2.90352,3.14841,3.39327,3.71818,3.98015,4.38439,4.56192,4.65721
31-Jan-18,2.26937,2.6585,2.92644,3.17501,3.42443,3.7419,3.99604,4.40022,4.58165,4.68096
01-Feb-18,2.39796,2.67331,2.97367,3.2307,3.48779,3.79746,4.04356,4.44551,4.64484,4.7519
02-Feb-18,2.35616,2.66396,2.9979,3.27007,3.54296,3.88425,4.16191,4.54819,4.76713,4.87024
05-Feb-18,2.37194,2.74816,3.01439,3.29077,3.56714,3.88425,4.13824,4.53241,4.7553,4.86243
06-Feb-18,2.49029,2.86578,3.10118,3.3815,3.66182,3.95921,4.19347,4.57974,4.79475,4.89398
07-Feb-18,2.44295,2.84944,3.06173,3.33811,3.61448,3.90792,4.13824,4.52451,4.73952,4.83876
08-Feb-18,2.58497,2.98653,3.17219,3.44857,3.72494,4.01443,4.24081,4.61919,4.81842,4.88609
09-Feb-18,3.01891,3.19167,3.29054,3.54325,3.79595,4.08544,4.31182,4.65864,4.85392,4.93343
12-Feb-18,2.90846,3.15222,3.29843,3.5393,3.78017,4.08544,4.3276,4.67442,4.8697,4.94921
13-Feb-18,2.82167,3.06543,3.25109,3.49985,3.74861,4.06572,4.31971,4.68231,4.87365,4.94921
14-Feb-18,3.30295,3.29424,3.40889,3.63793,3.86696,4.18012,4.43017,4.76121,4.90521,4.9571
15-Feb-18,3.1846,3.27057,3.42467,3.65371,3.88274,4.19196,4.43806,4.7691,4.89337,4.94132
16-Feb-18,3.00313,3.14433,3.30632,3.55508,3.80384,4.12489,4.38283,4.72176,4.85787,4.89398
20-Feb-18,2.95579,3.09699,3.25898,3.48407,3.70916,4.03021,4.28815,4.62708,4.75451,4.79931
21-Feb-18,2.91635,3.0891,3.25898,3.49195,3.72456,4.0381,4.28815,4.63497,4.74267,4.76775
22-Feb-18,2.98415,3.09592,3.25772,3.49591,3.73238,4.03021,4.26448,4.6113,4.719,4.7438
23-Feb-18,3.23194,3.13479,3.29843,3.5393,3.78017,4.0815,4.31971,4.64286,4.75451,4.78334
26-Feb-18,3.28717,3.16011,3.43349,3.54325,3.78806,4.06322,4.31944,4.64286,4.75451,4.78353
27-Feb-18,3.28717,3.19956,3.49307,3.59848,3.84329,4.11201,4.36705,4.68341,4.78212,4.8072
28-Feb-18,3.21616,3.1767,3.47006,3.58697,3.84329,4.11371,4.37494,4.69893,4.77423,4.79142
01-Mar-18,3.26939,3.2012,3.37733,3.62215,3.86696,4.1604,4.39072,4.71387,4.79001,4.8072
02-Mar-18,3.42668,3.34158,3.45623,3.69316,3.93008,4.22155,4.4499,4.75727,4.82157,4.8427
05-Mar-18,3.36607,3.3258,3.472,3.71253,3.94586,4.23733,4.46568,4.77305,4.83735,4.86637
06-Mar-18,3.27873,3.34158,3.48778,3.72077,3.95375,4.25311,4.48934,4.78094,4.85313,4.88215
07-Mar-18,3.26392,3.32738,3.52093,3.75785,3.99478,4.2894,4.5209,4.8125,4.88469,4.91371
08-Mar-18,3.26941,3.30371,3.47358,3.72235,3.97111,4.28151,4.52879,4.82039,4.90047,4.93738
09-Mar-18,3.09994,3.3116,3.48936,3.74996,4.01056,4.31307,4.55246,4.83617,4.90836,4.93738
12-Mar-18,3.0915,3.24059,3.44991,3.7184,3.98689,4.28546,4.5209,4.78883,4.86891,4.90582
13-Mar-18,2.89428,3.10649,3.31579,3.59219,3.86853,4.18684,4.44203,4.69413,4.7782,4.84271
14-Mar-18,3.02683,3.22326,3.38522,3.64581,3.9064,4.21366,4.45781,4.70991,4.79004,4.8506
15-Mar-18,2.97949,3.20748,3.41678,3.68132,3.94585,4.261,4.51304,4.76514,4.83745,4.89011
16-Mar-18,3.00316,3.21537,3.44834,3.72076,3.99319,4.29651,4.53671,4.79676,4.86505,4.91372
19-Mar-18,3.04261,3.23115,3.44834,3.72865,4.00897,4.30834,4.5446,4.7967,4.85702,4.91372
20-Mar-18,3.04261,3.23115,3.41678,3.70104,3.9853,4.29256,4.53696,4.78895,4.84913,4.90583
21-Mar-18,2.82958,3.07032,3.28939,3.5295,3.84315,4.19778,4.48931,4.73376,4.80178,4.88207
22-Mar-18,2.83747,3.11,3.3053,3.54642,3.85898,4.19782,4.47355,4.72577,4.80172,4.88209
23-Mar-18,2.8138,3.10491,3.29746,3.53882,3.85117,4.19388,4.47355,4.72554,4.80169,4.88216
26-Mar-18,2.82643,3.11753,3.31106,3.59164,3.86379,4.20025,4.47359,4.72569,4.80187,4.88216
27-Mar-18,2.88579,3.1775,3.35208,3.64423,3.93638,4.2641,4.52882,4.78092,4.84132,4.91372
28-Mar-18,2.78328,3.24062,3.4152,3.67974,3.94418,4.26269,4.52087,4.77303,4.84132,4.92161
29-Mar-18,2.78075,3.42336,3.42842,3.68117,3.8244,4.26273,4.51987,4.78785,4.84111,4.92126
02-Apr-18,2.80994,3.27533,3.43414,3.68684,3.90947,4.26149,4.52093,4.78786,4.86105,4.93739
03-Apr-18,2.88954,3.25166,3.41047,3.65922,3.87732,4.23418,4.49726,4.7718,4.84527,4.90552
04-Apr-18,2.9574,3.28795,3.40889,3.66396,3.91902,4.21998,4.45781,4.72435,4.80187,4.85029
05-Apr-18,2.96939,3.28795,3.40808,3.66001,3.91113,4.21209,4.44992,4.7083,4.78924,4.8424
06-Apr-18,2.96057,3.27971,3.43179,3.66001,3.8869,4.19236,4.43414,4.69265,4.77403,4.82662
09-Apr-18,2.88481,3.22759,3.386,3.62427,3.86162,4.1753,4.42625,4.70202,4.77031,4.82636
10-Apr-18,2.79644,3.13294,3.34184,3.57638,3.80957,4.13003,4.36656,4.67046,4.7427,4.8027
11-Apr-18,2.7491,3.05721,3.29212,3.53535,3.77858,4.10242,4.34281,4.65468,4.73087,4.79506
12-Apr-18,2.7996,3.10806,3.32368,3.5606,3.79752,4.10794,4.33456,4.66257,4.73481,4.79506
13-Apr-18,2.7996,3.10806,3.31106,3.54798,3.78489,4.09374,4.31884,4.64653,4.71903,4.77928
16-Apr-18,2.70492,3.03705,3.24005,3.48486,3.72966,4.05034,4.3079,4.61523,4.68768,4.73409
17-Apr-18,2.57868,2.90975,3.12041,3.35005,3.57976,3.92016,4.19744,4.51266,4.60886,4.67892
18-Apr-18,2.58657,2.90175,3.12822,3.34678,3.56398,3.8886,4.1501,4.4811,4.58126,4.65503
19-Apr-18,2.60235,2.93449,3.16904,3.39412,3.62191,3.93594,4.18955,4.51266,4.60068,4.66263
20-Apr-18,2.63391,2.95027,3.18482,3.41385,3.64572,3.97539,4.24478,4.56789,4.64408,4.70827
23-Apr-18,2.62272,2.94238,3.18482,3.42174,3.65866,3.99117,4.26056,4.57578,4.65986,4.73194
24-Apr-18,2.55501,2.87137,3.12959,3.35467,3.57976,3.95172,4.26056,4.58367,4.68353,4.77139
25-Apr-18,2.56448,2.91239,3.20533,3.42253,3.63972,3.98959,4.27634,4.62312,4.72297,4.81084
26-Apr-18,2.44613,2.8256,3.11065,3.33968,3.56871,3.92647,4.22111,4.57578,4.68353,4.77928
