"Date","1 Month 10 Years Payer ATMF Implied BP Vol","3 Month 10 Years Payer ATMF Implied BP Vol","6 Month 10 Years Payer ATMF Implied BP Vol","9 Month 10 Years Payer ATMF Implied BP Vol","1 Year 10 Years Payer ATMF Implied BP Vol","18 Month 10 Years Payer ATMF Implied BP Vol","2 Years 10 Years Payer ATMF Implied BP Vol","3 Years 10 Years Payer ATMF Implied BP Vol","4 Years 10 Years Payer ATMF Implied BP Vol","5 Years 10 Years Payer ATMF Implied BP Vol"
09-Jan-18,3.2789,3.44148,3.64349,3.73252,3.82169,3.92754,4.03339,4.15176,4.18934,4.20291
10-Jan-18,3.42881,3.47304,3.67505,3.76408,3.85326,3.9591,4.06496,4.18332,4.20512,4.2108
11-Jan-18,3.34202,3.44149,3.62771,3.72063,3.81381,3.93544,4.05707,4.15965,4.19328,4.20291
12-Jan-18,3.36569,3.43055,3.61984,3.71274,3.80592,3.92361,4.04129,4.14386,4.17354,4.17925
16-Jan-18,3.24734,3.40976,3.58035,3.68114,3.78222,3.89991,4.01762,4.12017,4.15381,4.16344
17-Jan-18,3.20789,3.40181,3.57242,3.66927,3.76644,3.88021,3.99397,4.0965,4.13409,4.14766
18-Jan-18,3.4367,3.52013,3.63552,3.72065,3.80594,3.91969,4.03342,4.12806,4.15381,4.15555
19-Jan-18,3.69707,3.70995,3.79345,3.85888,3.92429,4.01831,4.11232,4.1754,4.18537,4.17136
22-Jan-18,3.77502,3.78885,3.85657,3.91805,3.97952,4.0617,4.14388,4.20699,4.21301,4.19503
23-Jan-18,3.73569,3.78096,3.85657,3.91805,3.97952,4.06565,4.15177,4.20699,4.21301,4.19503
24-Jan-18,3.83788,3.84408,3.94336,3.99695,4.05053,4.12877,4.207,4.24644,4.23668,4.20292
25-Jan-18,3.75113,3.81252,3.95125,4.0009,4.05053,4.13666,4.22278,4.25433,4.24852,4.2187
26-Jan-18,3.94049,3.95453,4.08538,4.1508,4.21622,4.27868,4.34113,4.36479,4.35503,4.32126
29-Jan-18,3.93379,4.06367,4.1955,4.26126,4.32671,4.39305,4.45945,4.48302,4.46934,4.43166
30-Jan-18,4.06001,4.09515,4.2428,4.30391,4.36586,4.42836,4.49087,4.51443,4.50091,4.4632
31-Jan-18,4.04423,4.11096,4.25062,4.31569,4.38167,4.44421,4.5067,4.53026,4.52064,4.48689
01-Feb-18,4.24986,4.18978,4.27426,4.3555,4.43698,4.49559,4.5541,4.58559,4.58375,4.55787
02-Feb-18,4.33615,4.30824,4.40078,4.47394,4.54745,4.6179,4.68822,4.70398,4.69422,4.66049
05-Feb-18,4.39927,4.33473,4.40098,4.46246,4.52393,4.59031,4.65671,4.68039,4.67458,4.64475
06-Feb-18,4.78588,4.6095,4.61401,4.62814,4.64228,4.68501,4.72773,4.72773,4.71402,4.67631
07-Feb-18,4.59652,4.49973,4.53511,4.56897,4.60283,4.64161,4.68039,4.68039,4.6588,4.61319
08-Feb-18,5.0068,4.73564,4.69291,4.7031,4.71329,4.73629,4.75929,4.74351,4.70613,4.64475
09-Feb-18,5.18827,4.8461,4.74813,4.75044,4.75274,4.7718,4.79085,4.77507,4.73375,4.66842
12-Feb-18,4.94368,4.75142,4.71658,4.72677,4.73696,4.76785,4.79874,4.78296,4.74164,4.67631
13-Feb-18,4.89634,4.68041,4.67713,4.7031,4.72907,4.76391,4.79874,4.79085,4.74558,4.67631
14-Feb-18,4.89634,4.66463,4.65346,4.6932,4.73294,4.77172,4.8105,4.81049,4.76128,4.68807
15-Feb-18,4.6202,4.5305,4.57456,4.6143,4.65404,4.71254,4.77105,4.77893,4.73367,4.6644
16-Feb-18,4.34407,4.31747,4.39309,4.45255,4.51202,4.58236,4.6527,4.68425,4.6666,4.60128
20-Feb-18,4.23358,4.17539,4.25107,4.31839,4.38578,4.45612,4.52631,4.55783,4.55515,4.5065
21-Feb-18,4.12301,4.11226,4.19567,4.26312,4.33028,4.40473,4.47892,4.51837,4.51963,4.47493
22-Feb-18,4.15238,4.09625,4.14793,4.23159,4.31434,4.37994,4.45516,4.4947,4.49597,4.45117
23-Feb-18,4.38266,4.21454,4.21853,4.29866,4.36972,4.42739,4.49462,4.52625,4.52357,4.47492
26-Feb-18,4.32298,4.19426,4.23218,4.30185,4.37274,4.43467,4.4946,4.52645,4.5238,4.47504
27-Feb-18,4.33105,4.26527,4.27152,4.33341,4.39682,4.46185,4.52646,4.55009,4.54747,4.49871
28-Feb-18,4.20449,4.24071,4.27776,4.34426,4.4126,4.47331,4.53435,4.55001,4.53958,4.48293
01-Mar-18,4.25291,4.27366,4.31734,4.37681,4.43627,4.4932,4.55013,4.5659,4.55536,4.49871
02-Mar-18,4.43133,4.36008,4.38835,4.43598,4.48361,4.53463,4.58563,4.60141,4.58692,4.52633
05-Mar-18,4.35472,4.37586,4.4278,4.47614,4.52306,4.56619,4.6093,4.62508,4.61058,4.55
06-Mar-18,4.31481,4.36797,4.41991,4.47149,4.52306,4.57802,4.63297,4.64086,4.62636,4.56578
07-Mar-18,4.26782,4.32063,4.4278,4.49121,4.55462,4.60958,4.66453,4.67242,4.65792,4.59734
08-Mar-18,4.15736,4.23384,4.37257,4.43598,4.49939,4.56224,4.62508,4.63297,4.63031,4.58156
09-Mar-18,3.98376,4.12338,4.29367,4.36497,4.43627,4.50701,4.57774,4.58563,4.58297,4.53422
12-Mar-18,3.8535,3.99714,4.23055,4.3058,4.38104,4.45572,4.5304,4.53829,4.54352,4.50266
13-Mar-18,3.71152,3.88671,4.10438,4.1876,4.2706,4.36107,4.45152,4.4673,4.47643,4.43957
14-Mar-18,3.86365,4.00384,4.16592,4.2295,4.29272,4.37606,4.45941,4.48307,4.48827,4.44746
15-Mar-18,3.89519,4.01168,4.19745,4.26893,4.34003,4.42734,4.51464,4.5383,4.53562,4.48692
16-Mar-18,3.91885,4.02731,4.21323,4.28866,4.3637,4.45496,4.5462,4.56986,4.56323,4.51058
19-Mar-18,4.01427,4.10605,4.24478,4.31608,4.38737,4.46673,4.54614,4.56981,4.56319,4.51058
20-Mar-18,3.93537,4.03504,4.2055,4.2782,4.3637,4.44713,4.53047,4.56201,4.5553,4.50269
21-Mar-18,3.61188,3.88186,4.0863,4.18112,4.27654,4.37968,4.4828,4.52256,4.52374,4.47899
22-Mar-18,3.73812,3.9057,4.08621,4.18115,4.27647,4.37575,4.47492,4.52254,4.52377,4.47906
23-Mar-18,3.77757,3.91534,4.0783,4.17719,4.27669,4.37573,4.4749,4.52227,4.52356,4.47888
26-Mar-18,3.72392,3.91277,4.0852,4.18578,4.28307,4.3792,4.47517,4.52251,4.52377,4.47892
27-Mar-18,3.84314,4.02236,4.11839,4.23718,4.35571,4.44293,4.5304,4.57774,4.56322,4.51049
28-Mar-18,4.00406,4.08517,4.18116,4.27247,4.35787,4.44273,4.52236,4.56985,4.56322,4.51847
29-Mar-18,4.00409,4.08602,4.18574,4.27297,4.35768,4.44273,4.52204,4.56967,4.56325,4.51867
02-Apr-18,3.96494,4.10913,4.19561,4.27895,4.36194,4.44216,4.52243,4.57767,4.575,4.5342
03-Apr-18,3.76968,3.99078,4.13248,4.22376,4.31459,4.4026,4.49072,4.55402,4.55527,4.51841
04-Apr-18,3.72392,3.92297,4.08844,4.18193,4.27524,4.36729,4.45932,4.52244,4.51977,4.47896
05-Apr-18,3.653,3.84407,4.00934,4.11881,4.22789,4.33572,4.44354,4.50667,4.50781,4.47108
06-Apr-18,3.74662,3.93867,4.04105,4.13853,4.23567,4.33178,4.42776,4.49089,4.49216,4.45531
09-Apr-18,3.5961,3.84559,3.9795,4.09511,4.21051,4.31518,4.41986,4.47979,4.48822,4.455
10-Apr-18,3.52036,3.76354,3.94795,4.05961,4.17106,4.2757,4.38066,4.44816,4.46061,4.43134
11-Apr-18,3.41306,3.65624,3.87845,4.00598,4.13314,4.24492,4.35702,4.43237,4.44877,4.42375
12-Apr-18,3.48564,3.70993,3.91,4.03122,4.15207,4.25833,4.36491,4.44022,4.45265,4.42369
13-Apr-18,3.4888,3.691,3.89108,4.01545,4.13945,4.24414,4.34913,4.42772,4.43687,4.4054
16-Apr-18,3.37045,3.62783,3.8358,3.97203,4.10786,4.21255,4.31327,4.39615,4.40522,4.37635
17-Apr-18,3.30733,3.53295,3.73309,3.86147,3.98972,4.11401,4.2344,4.32514,4.35004,4.3369
18-Apr-18,3.37045,3.57237,3.76477,3.89318,4.02128,4.14171,4.25811,4.34881,4.36975,4.35268
19-Apr-18,3.52815,3.68315,3.85186,3.97996,4.10887,4.20483,4.29749,4.38037,4.38953,4.36057
20-Apr-18,3.63071,3.76993,3.92287,4.05492,4.18767,4.27189,4.35266,4.43566,4.43298,4.39223
23-Apr-18,3.68532,3.84094,3.97021,4.08648,4.20274,4.29556,4.38838,4.45939,4.45671,4.4159
24-Apr-18,3.72549,3.86461,3.9781,4.09831,4.21852,4.31529,4.41205,4.46728,4.48038,4.45535
25-Apr-18,3.9259,4.01137,4.07909,4.19378,4.30847,4.38787,4.46728,4.52251,4.52772,4.4948
26-Apr-18,3.77579,3.87724,4.00019,4.11488,4.22957,4.32081,4.41205,4.47517,4.48827,4.46324
27-Apr-18,3.6259,3.75889,3.92919,4.04387,4.15791,4.25769,4.35682,4.41994,4.44093,4.42096
30-Apr-18,3.57053,3.70271,3.87218,3.99151,4.11062,4.21341,4.31303,4.37685,4.40097,4.38304
01-May-18,3.69007,3.75824,3.91277,4.02787,4.14213,4.24953,4.35243,4.41981,4.43663,4.41536
02-May-18,3.53141,3.67966,3.84192,3.95689,4.06582,4.1865,4.30184,4.38041,4.40905,4.39984
03-May-18,3.60242,3.71155,3.8424,3.949,4.05007,4.17073,4.2861,4.37255,4.40909,4.40775
04-May-18,3.55508,3.6721,3.83451,3.9411,4.04906,4.16284,4.27821,4.36452,4.40131,4.40012
07-May-18,3.50774,3.66421,3.82662,3.93341,4.04021,4.15118,4.26214,4.35682,4.39359,4.39223
08-May-18,3.52667,3.68946,3.8708,3.97602,4.08124,4.18352,4.28581,4.3726,4.40937,4.40801
09-May-18,3.54876,3.70839,3.88658,3.99732,4.10807,4.20483,4.30159,4.38838,4.4212,4.4159
10-May-18,3.45408,3.63896,3.8424,3.96576,4.08913,4.18352,4.27792,4.36471,4.40148,4.40012
11-May-18,3.38465,3.579,3.81399,3.93657,4.05915,4.16064,4.26214,4.35682,4.39753,4.40012
14-May-18,3.40902,3.55533,3.79821,3.92474,4.05126,4.15275,4.25425,4.35682,4.39753,4.40012
15-May-18,3.82084,3.84726,3.95443,4.05965,4.16487,4.24901,4.33315,4.41994,4.44487,4.43168
16-May-18,3.85523,3.86935,3.99546,4.09831,4.20117,4.28531,4.36944,4.44834,4.46302,4.43957
17-May-18,3.82368,3.83779,3.99546,4.1062,4.21695,4.30109,4.38522,4.45229,4.46499,4.43957
18-May-18,3.79212,3.82201,3.97968,4.09042,4.20117,4.28925,4.37733,4.4444,4.4571,4.43168
21-May-18,3.77582,3.80599,3.9734,4.09019,4.20745,4.29633,4.38518,4.45228,4.46498,4.43954
22-May-18,3.66225,3.78654,3.98596,4.10343,4.22158,4.31524,4.40888,4.47592,4.48865,4.46321
23-May-18,3.68823,3.76829,3.95755,4.07352,4.19011,4.28765,4.38522,4.45225,4.4709,4.45139
24-May-18,3.63458,3.69898,3.91339,4.03486,4.15698,4.25925,4.36155,4.43648,4.45707,4.44349
25-May-18,3.77028,3.75747,3.94496,4.06958,4.19485,4.29002,4.38522,4.46016,4.47681,4.45929
29-May-18,4.37645,4.30562,4.29212,4.36578,4.43937,4.4794,4.51935,4.57065,4.5715,4.53819
30-May-18,4.1354,4.14707,4.20691,4.27741,4.34792,4.41536,4.48073,4.54715,4.55967,4.53819
31-May-18,4.07736,4.11576,4.19902,4.28531,4.37159,4.45516,4.53586,4.59438,4.59912,4.58553
01-Jun-18,3.88318,3.98927,4.10434,4.21035,4.31636,4.40208,4.48779,4.55486,4.57545,4.57764
04-Jun-18,3.63073,3.85515,4.00177,4.13145,4.26113,4.35868,4.45623,4.53119,4.55572,4.56186
05-Jun-18,3.63072,3.83937,3.99599,4.11962,4.24535,4.34685,4.44834,4.53119,4.55572,4.56186
06-Jun-18,3.75689,3.93405,4.07278,4.18274,4.29269,4.37841,4.46412,4.54697,4.56361,4.56186
07-Jun-18,3.82799,3.94982,4.10434,4.22219,4.34003,4.41786,4.49568,4.57853,4.58728,4.57764
08-Jun-18,4.02524,4.05239,4.19113,4.28531,4.37948,4.46125,4.54302,4.61009,4.6149,4.60131
11-Jun-18,3.91478,4.02872,4.15957,4.26953,4.37948,4.45731,4.53513,4.6022,4.61095,4.60131
