"Date","1 Month 5 Years Payer ATMF Implied BP Vol","3 Month 5 Years Payer ATMF Implied BP Vol","9 Month 5 Years Payer ATMF Implied BP Vol","1 Year 5 Years Payer ATMF Implied BP Vol","18 Month 5 Years Payer ATMF Implied BP Vol","2 Years 5 Years Payer ATMF Implied BP Vol","3 Years 5 Years Payer ATMF Implied BP Vol","4 Years 5 Years Payer ATMF Implied BP Vol","5 Years 5 Years Payer ATMF Implied BP Vol"
09-Jan-18,2.9615,3.19174,3.55906,3.69614,3.84343,3.99073,4.16388,4.26403,4.32629
10-Jan-18,3.01673,3.19175,3.57485,3.72778,3.875,4.02234,4.19544,4.27981,4.33418
11-Jan-18,2.92994,3.1602,3.53148,3.68828,3.85134,4.01441,4.17177,4.26797,4.32629
12-Jan-18,2.93783,3.14445,3.50781,3.66461,3.83162,3.99863,4.15599,4.24825,4.30262
16-Jan-18,2.81159,3.105,3.46836,3.63305,3.804,3.975,4.13228,4.22849,4.28681
17-Jan-18,2.77214,3.09701,3.45646,3.61722,3.78432,3.95133,4.10861,4.20877,4.27103
18-Jan-18,2.98517,3.20743,3.50772,3.65677,3.81982,3.98289,4.13228,4.2206,4.27103
19-Jan-18,3.19031,3.34203,3.62635,3.75934,3.91056,4.06179,4.17962,4.25216,4.28684
22-Jan-18,3.1976,3.31836,3.65397,3.79879,3.94606,4.09335,4.21122,4.27981,4.31051
23-Jan-18,3.1971,3.33414,3.65397,3.7909,3.93423,4.07757,4.21122,4.27981,4.31051
24-Jan-18,3.25253,3.34992,3.69736,3.83824,3.98551,4.1328,4.25067,4.30348,4.3184
25-Jan-18,3.22096,3.33414,3.70525,3.84613,4.00524,4.16436,4.26645,4.3232,4.34207
26-Jan-18,3.44972,3.51561,3.87094,4.0197,4.1512,4.2827,4.3769,4.42972,4.44464
29-Jan-18,3.46646,3.63229,3.98138,4.12227,4.25772,4.39318,4.49513,4.54401,4.55497
30-Jan-18,3.60848,3.67956,4.02,4.15352,4.28902,4.42456,4.52723,4.57559,4.58654
