"Date","Libor 10 Years Mid Rate","10 year note Current Mid Yield"
11-Jan-18,2.5203,2.53031
12-Jan-18,2.542,2.55074
16-Jan-18,2.54596,2.54348
17-Jan-18,2.58277,2.57662
18-Jan-18,2.61857,2.60988
19-Jan-18,2.67545,2.6379
22-Jan-18,2.70833,2.66212
23-Jan-18,2.6476,2.62142
24-Jan-18,2.67793,2.65303
25-Jan-18,2.63981,2.61976
26-Jan-18,2.68224,2.66087
29-Jan-18,2.7186,2.69732
30-Jan-18,2.74462,2.72455
31-Jan-18,2.74517,2.71905
01-Feb-18,2.80432,2.77173
02-Feb-18,2.88288,2.85155
05-Feb-18,2.81049,2.79301
06-Feb-18,2.79243,2.76486
07-Feb-18,2.85511,2.82751
08-Feb-18,2.86848,2.84846
09-Feb-18,2.83659,2.83032
12-Feb-18,2.86277,2.85391
13-Feb-18,2.84565,2.83939
14-Feb-18,2.926,2.9122
15-Feb-18,2.90611,2.89215
16-Feb-18,2.89355,2.87585
20-Feb-18,2.90735,2.89229
21-Feb-18,2.96719,2.93992
22-Feb-18,2.93147,2.91521
23-Feb-18,2.8756,2.87052
26-Feb-18,2.85909,2.85778
27-Feb-18,2.92207,2.90714
28-Feb-18,2.88059,2.86694
01-Mar-18,2.8089,2.80147
02-Mar-18,2.86616,2.85608
05-Mar-18,2.88697,2.87803
06-Mar-18,2.89118,2.87622
07-Mar-18,2.90169,2.88174
08-Mar-18,2.89403,2.8653
09-Mar-18,2.91798,2.89285
12-Mar-18,2.89916,2.86905
13-Mar-18,2.89471,2.84713
14-Mar-18,2.85957,2.81613
15-Mar-18,2.86241,2.82344
16-Mar-18,2.89283,2.84723
19-Mar-18,2.88007,2.84359
20-Mar-18,2.9166,2.88026
21-Mar-18,2.95184,2.90511
22-Mar-18,2.87475,2.83084
23-Mar-18,2.86421,2.82541
26-Mar-18,2.87274,2.84006
27-Mar-18,2.81111,2.7871
28-Mar-18,2.79614,2.77344
29-Mar-18,2.77865,2.74343
02-Apr-18,2.76447,2.73072
03-Apr-18,2.80793,2.78166
04-Apr-18,2.82047,2.78897
05-Apr-18,2.86485,2.83107
06-Apr-18,2.80567,2.77439
09-Apr-18,2.80911,2.78535
10-Apr-18,2.82132,2.79633
11-Apr-18,2.82398,2.78902
12-Apr-18,2.8718,2.83303
13-Apr-18,2.86642,2.82757
16-Apr-18,2.86128,2.83127
17-Apr-18,2.84918,2.81291
18-Apr-18,2.89513,2.86632
19-Apr-18,2.93761,2.91262
20-Apr-18,2.98492,2.94992
23-Apr-18,2.99981,2.97236
24-Apr-18,3.00547,2.98175
25-Apr-18,3.05557,3.02304
26-Apr-18,3.01936,2.98935
27-Apr-18,2.9859,2.95586
30-Apr-18,2.9667,2.93538
01-May-18,3.00225,2.97466
02-May-18,2.9961,2.96348
03-May-18,2.97748,2.94485
04-May-18,2.97597,2.94312
07-May-18,2.98752,2.94877
08-May-18,3.00389,2.96754
09-May-18,3.03211,2.99326
10-May-18,3.0142,2.97042
11-May-18,3.00155,2.97042
14-May-18,3.01949,2.99327
15-May-18,3.10797,3.07786
16-May-18,3.12491,3.0936
17-May-18,3.13968,3.10846
18-May-18,3.09727,3.06605
21-May-18,3.10176,3.06425
22-May-18,3.09432,3.06429
23-May-18,3.03656,3.00172
24-May-18,3.01339,2.97974
25-May-18,2.97158,2.93407
29-May-18,2.80499,2.76747
30-May-18,2.8808,2.84318
31-May-18,2.87271,2.82146
01-Jun-18,2.94653,2.89399
04-Jun-18,2.99229,2.93596
05-Jun-18,2.97514,2.91769
06-Jun-18,3.03189,2.97448
07-Jun-18,2.991,2.93233
08-Jun-18,2.99535,2.93419
11-Jun-18,3.01862,2.9562
12-Jun-18,3.01741,2.95621
13-Jun-18,3.03952,2.97829
14-Jun-18,3.00775,2.94523
15-Jun-18,2.98453,2.92326
18-Jun-18,2.9892,2.92418
19-Jun-18,2.95874,2.89124
20-Jun-18,2.98834,2.92694
21-Jun-18,2.96008,2.8949
22-Jun-18,2.96462,2.89948
25-Jun-18,2.94142,2.87388
26-Jun-18,2.9469,2.87935
27-Jun-18,2.89902,2.82646
28-Jun-18,2.91775,2.84648
29-Jun-18,2.92513,2.8501
02-Jul-18,2.94407,2.86653
03-Jul-18,2.9148,2.8373
05-Jul-18,2.91917,2.83911
06-Jul-18,2.91004,2.82995
09-Jul-18,2.93924,2.85918
10-Jul-18,2.9495,2.87199
11-Jul-18,2.9153,2.8427
12-Jul-18,2.9219,2.85184
13-Jul-18,2.89728,2.82986
16-Jul-18,2.91583,2.85455
17-Jul-18,2.92588,2.86096
18-Jul-18,2.94138,2.87381
19-Jul-18,2.91503,2.84628
20-Jul-18,2.95468,2.8922
23-Jul-18,3.01804,2.9643
24-Jul-18,3.00315,2.94948
25-Jul-18,2.98851,2.93468
26-Jul-18,3.02365,2.97365
27-Jul-18,3.01826,2.9607
30-Jul-18,3.03754,2.97373
31-Jul-18,3.02889,2.9626
01-Aug-18,3.07058,3.00173
02-Aug-18,3.05626,2.98498
03-Aug-18,3.02529,2.95154
06-Aug-18,3.00923,2.9367
07-Aug-18,3.03441,2.97206
08-Aug-18,3.02394,2.96521
09-Aug-18,2.99277,2.93396
10-Aug-18,2.91905,2.85783
13-Aug-18,2.93585,2.8759
14-Aug-18,2.96022,2.89401
15-Aug-18,2.9155,2.8506
16-Aug-18,2.93794,2.87046
17-Aug-18,2.94344,2.87225
20-Aug-18,2.89664,2.82166
21-Aug-18,2.91329,2.8433
22-Aug-18,2.89499,2.82253
23-Aug-18,2.89226,2.81981
24-Aug-18,2.90012,2.82516
27-Aug-18,2.92619,2.84865
28-Aug-18,2.95569,2.88309
29-Aug-18,2.9566,2.88127
30-Aug-18,2.93456,2.85948
31-Aug-18,2.92218,2.85219
04-Sep-18,2.96627,2.90127
05-Sep-18,2.9624,2.90127
06-Sep-18,2.93708,2.87578
07-Sep-18,3.00535,2.9415
10-Sep-18,2.99732,2.93602
11-Sep-18,3.04571,2.97825
12-Sep-18,3.02878,2.96172
13-Sep-18,3.03228,2.96357
14-Sep-18,3.06069,2.99309
17-Sep-18,3.06545,3.00049
18-Sep-18,3.10425,3.04679
19-Sep-18,3.13813,3.08213
20-Sep-18,3.14265,3.07659
21-Sep-18,3.1263,3.06742
24-Sep-18,3.13076,3.07677
25-Sep-18,3.15613,3.10106
26-Sep-18,3.11968,3.0601
27-Sep-18,3.11578,3.05456
28-Sep-18,3.11471,3.05467
01-Oct-18,3.13272,3.07894
02-Oct-18,3.10964,3.05475
03-Oct-18,3.20577,3.15964
04-Oct-18,3.23779,3.1927
05-Oct-18,3.26615,3.22612
09-Oct-18,3.25468,3.20725
10-Oct-18,3.2679,3.22438
11-Oct-18,3.1787,3.13004
12-Oct-18,3.18345,3.13962
15-Oct-18,3.20984,3.16231
16-Oct-18,3.21338,3.15483
17-Oct-18,3.24269,3.17756
18-Oct-18,3.24403,3.17385
19-Oct-18,3.26814,3.20058
22-Oct-18,3.25675,3.19307
23-Oct-18,3.23205,3.16473
24-Oct-18,3.19181,3.12326
25-Oct-18,3.19712,3.13464
26-Oct-18,3.1369,3.07457
29-Oct-18,3.1524,3.08495
30-Oct-18,3.17719,3.10853
31-Oct-18,3.22519,3.1577
01-Nov-18,3.21025,3.14263
02-Nov-18,3.27331,3.21309
05-Nov-18,3.25934,3.19793
06-Nov-18,3.26939,3.212
07-Nov-18,3.27079,3.21237
08-Nov-18,3.28476,3.23086
09-Nov-18,3.24711,3.18838
13-Nov-18,3.20284,3.14425
14-Nov-18,3.18106,3.11859
15-Nov-18,3.18176,3.11675
16-Nov-18,3.13533,3.07286
19-Nov-18,3.11467,3.05735
20-Nov-18,3.11358,3.04731
21-Nov-18,3.12613,3.06001
23-Nov-18,3.1164,3.05265
26-Nov-18,3.13031,3.06905
27-Nov-18,3.10878,3.05625
28-Nov-18,3.08323,3.04346
29-Nov-18,3.07682,3.03432
30-Nov-18,3.05621,3.01239
03-Dec-18,3.04802,2.99055
04-Dec-18,2.9841,2.92168
06-Dec-18,2.94344,2.87481
07-Dec-18,2.90181,2.84948
10-Dec-18,2.88351,2.8548
11-Dec-18,2.91108,2.87989
12-Dec-18,2.94089,2.90505
13-Dec-18,2.94525,2.91041
14-Dec-18,2.92243,2.88858
17-Dec-18,2.89121,2.85611
18-Dec-18,2.8421,2.82193
19-Dec-18,2.80353,2.77446
20-Dec-18,2.82544,2.78777
21-Dec-18,2.83254,2.79109
24-Dec-18,2.77335,2.75073
26-Dec-18,2.81372,2.79621
27-Dec-18,2.76069,2.74163
28-Dec-18,2.75577,2.73688
31-Dec-18,2.72043,2.69042
02-Jan-19,2.69176,2.66017
03-Jan-19,2.56993,2.55257
04-Jan-19,2.68825,2.65794
07-Jan-19,2.70713,2.68089
08-Jan-19,2.74231,2.7146
09-Jan-19,2.75145,2.72699
10-Jan-19,2.75421,2.73046
11-Jan-19,2.72296,2.69804
14-Jan-19,2.73361,2.70864
15-Jan-19,2.73557,2.70675
16-Jan-19,2.75935,2.72809
17-Jan-19,2.77825,2.7459
18-Jan-19,2.81395,2.78147
22-Jan-19,2.76232,2.73109
23-Jan-19,2.78439,2.75432
24-Jan-19,2.74236,2.7112
25-Jan-19,2.78152,2.75036
28-Jan-19,2.77055,2.74308
29-Jan-19,2.74071,2.71069
30-Jan-19,2.72213,2.69447
31-Jan-19,2.65862,2.6337
01-Feb-19,2.718,2.69047
