"Date","Libor 2 Years Mid Rate","Libor 10 Years Mid Rate"
12-Jan-18,2.19584,2.542
19-Jan-18,2.26315,2.67545
26-Jan-18,2.30319,2.68224
02-Feb-18,2.37567,2.88288
09-Feb-18,2.32899,2.83659
16-Feb-18,2.45694,2.89355
23-Feb-18,2.48483,2.8756
02-Mar-18,2.4879,2.86616
09-Mar-18,2.56662,2.91798
16-Mar-18,2.61376,2.89283
23-Mar-18,2.59471,2.86421
29-Mar-18,2.57951,2.77865
06-Apr-18,2.59146,2.80567
13-Apr-18,2.68202,2.86642
20-Apr-18,2.73942,2.98492
27-Apr-18,2.73565,2.9859
04-May-18,2.76835,2.97597
11-May-18,2.75982,3.00155
18-May-18,2.79053,3.09727
25-May-18,2.70639,2.97158
01-Jun-18,2.73117,2.94653
08-Jun-18,2.77511,2.99535
15-Jun-18,2.82281,2.98453
22-Jun-18,2.81051,2.96462
29-Jun-18,2.78939,2.92513
06-Jul-18,2.79619,2.91004
13-Jul-18,2.8079,2.89728
20-Jul-18,2.82899,2.95468
27-Jul-18,2.87784,3.01826
03-Aug-18,2.86668,3.02529
10-Aug-18,2.78437,2.91905
17-Aug-18,2.82248,2.94344
24-Aug-18,2.80872,2.90012
31-Aug-18,2.81902,2.92218
07-Sep-18,2.89171,3.00535
14-Sep-18,2.95552,3.06069
21-Sep-18,2.97816,3.1263
28-Sep-18,2.98528,3.11471
05-Oct-18,3.06222,3.26615
12-Oct-18,3.03132,3.18345
19-Oct-18,3.11359,3.26814
26-Oct-18,3.01416,3.1369
02-Nov-18,3.11239,3.27331
09-Nov-18,3.12365,3.24711
16-Nov-18,3.0027,3.13533
23-Nov-18,2.99622,3.1164
30-Nov-18,2.97859,3.05621
07-Dec-18,2.86873,2.90181
14-Dec-18,2.87883,2.92243
21-Dec-18,2.79274,2.83254
28-Dec-18,2.67513,2.75577
04-Jan-19,2.63809,2.68825
11-Jan-19,2.69561,2.72296
18-Jan-19,2.76646,2.81395
25-Jan-19,2.73748,2.78152
01-Feb-19,2.65358,2.718
08-Feb-19,2.60415,2.65611
15-Feb-19,2.6512,2.69392
22-Feb-19,2.59377,2.6657
01-Mar-19,2.64121,2.76266
08-Mar-19,2.5808,2.64276
15-Mar-19,2.55624,2.60903
22-Mar-19,2.41018,2.43777
29-Mar-19,2.38971,2.41429
05-Apr-19,2.44497,2.48329
12-Apr-19,2.49045,2.54526
18-Apr-19,2.4753,2.54825
26-Apr-19,2.39351,2.48891
03-May-19,2.44435,2.51463
10-May-19,2.34926,2.43383
17-May-19,2.26732,2.34555
24-May-19,2.2051,2.27429
31-May-19,1.9879,2.09276
07-Jun-19,1.916,2.07285
14-Jun-19,1.86626,2.02379
21-Jun-19,1.7957,1.99551
28-Jun-19,1.7947,1.9553
05-Jul-19,1.91729,1.9947
12-Jul-19,1.87379,2.04632
19-Jul-19,1.83467,1.98136
26-Jul-19,1.89948,2.0049
02-Aug-19,1.74773,1.77318
09-Aug-19,1.6171,1.61871
16-Aug-19,1.49631,1.42855
23-Aug-19,1.50491,1.43663
30-Aug-19,1.51208,1.39022
06-Sep-19,1.51642,1.43078
13-Sep-19,1.79225,1.78878
20-Sep-19,1.70412,1.63489
27-Sep-19,1.62451,1.56611
04-Oct-19,1.43635,1.4283
11-Oct-19,1.65881,1.6759
18-Oct-19,1.61119,1.68535
25-Oct-19,1.65536,1.71799
01-Nov-19,1.59929,1.64333
08-Nov-19,1.70924,1.84083
15-Nov-19,1.62661,1.73701
22-Nov-19,1.6094,1.67086
29-Nov-19,1.61633,1.70363
06-Dec-19,1.63742,1.77363
13-Dec-19,1.63716,1.75112
20-Dec-19,1.70785,1.87397
27-Dec-19,1.68523,1.83391
