"Date","Euro (vs. 3M Euribor) 10 Years Term Spot Fwd Mid Rate","Euro (vs. 3M Euribor) 10 Years Term Spot Fwd Modified Duration","Germany 10 year Mid Yield","Germany 10 year Mid Price","Germany 10 year Dirty Mid Price","Italy 10 year Mid Yield","Italy 10 year Mid Price","Italy 10 year Dirty Mid Price"
11-Jan-18,0.88027,9.76336,0.59492,99.0734,99.07751,2.05904,100.0121,100.9424
12-Jan-18,0.88862,9.75333,0.58926,99.1286,99.13408,1.98748,100.62553,101.5614
16-Jan-18,0.86408,9.76233,0.56051,99.40863,99.41685,1.96344,100.83229,101.7793
17-Jan-18,0.85889,9.76466,0.55696,99.44334,99.45293,1.98761,100.62399,101.57657
18-Jan-18,0.87989,9.762,0.57402,99.27789,99.29158,1.9834,100.65976,101.62905
19-Jan-18,0.88819,9.75787,0.56963,99.32067,99.33574,1.9555,100.89965,101.87451
22-Jan-18,0.88607,9.75711,0.56261,99.38911,99.40555,1.92358,101.17483,102.15526
23-Jan-18,0.88241,9.75743,0.55937,99.42073,99.43854,1.89262,101.44237,102.42838
24-Jan-18,0.90816,9.74699,0.59158,99.10836,99.12754,1.91063,101.28617,102.27775
25-Jan-18,0.92142,9.74286,0.61298,98.90224,98.92553,1.96393,100.82593,101.83422
26-Jan-18,0.93211,9.73017,0.62913,98.74677,98.77142,1.99318,100.57481,101.58867
29-Jan-18,1.00369,9.702,0.69766,98.08937,98.11539,2.03173,100.24512,101.26455
30-Jan-18,0.99174,9.70493,0.68622,98.1993,98.22669,2.12343,98.99269,98.99269
31-Jan-18,0.98447,9.70758,0.69013,98.16232,98.19109,2.11498,99.06751,99.07303
01-Feb-18,1.00582,9.70601,0.70881,97.98543,98.01831,2.04387,99.69817,99.72027
02-Feb-18,1.05208,9.68403,0.75874,97.51114,97.54538,2.11764,99.04483,99.07245
05-Feb-18,1.04469,9.68632,0.74453,97.64668,97.68229,2.12437,98.98568,99.01883
06-Feb-18,0.99105,9.70954,0.68672,98.19782,98.2348,2.07914,99.38547,99.42414
07-Feb-18,1.02852,9.69298,0.73457,97.7425,97.78086,2.03956,99.73662,99.78082
08-Feb-18,1.06053,9.68471,0.77108,97.39832,97.44078,2.09962,99.20505,99.26582
09-Feb-18,1.05972,9.68555,0.74914,97.60664,97.65047,2.14018,98.84807,98.91437
12-Feb-18,1.0792,9.67739,0.75094,97.59024,97.63544,2.12131,99.0142,99.08602
13-Feb-18,1.0724,9.684,0.74043,97.69048,97.73706,2.15918,98.68185,98.7592
14-Feb-18,1.07476,9.68253,0.75004,97.60003,97.64797,2.14334,98.82108,98.90395
15-Feb-18,1.08709,9.68168,0.75922,97.51505,97.5671,2.13394,98.90439,99.00384
16-Feb-18,1.04312,9.69685,0.70884,97.99306,98.04648,2.07311,99.44025,99.54522
20-Feb-18,1.06335,9.686,0.72569,97.83428,97.89044,2.14701,98.79057,98.90659
21-Feb-18,1.05177,9.69017,0.71832,97.90475,97.96229,2.13789,98.87073,98.99228
22-Feb-18,1.04423,9.70058,0.70261,98.05531,98.11695,2.15587,98.71416,98.85228
23-Feb-18,1.00472,9.7168,0.65179,98.53942,98.60243,2.14025,98.85115,98.9948
26-Feb-18,1.00205,9.71321,0.64539,98.60085,98.66524,2.09835,99.219,99.36817
27-Feb-18,1.01095,9.70994,0.67232,98.34469,98.41044,2.08256,99.35803,99.51273
28-Feb-18,1.00386,9.71252,0.65846,98.47702,98.54414,2.06323,99.52853,99.68875
01-Mar-18,0.99311,9.7195,0.64113,98.64338,98.71462,2.02774,99.84221,100.01901
02-Mar-18,0.99038,9.71955,0.63501,98.70211,98.77471,2.02858,99.83477,100.01709
05-Mar-18,0.98944,9.71985,0.62823,98.76718,98.84115,2.08758,99.31483,99.50268
06-Mar-18,1.02017,9.7068,0.67358,98.33576,98.41111,2.0737,99.43694,99.63031
07-Mar-18,1.00212,9.71301,0.65798,98.4844,98.56111,2.03668,99.76331,99.96221
08-Mar-18,0.98508,9.72082,0.6318,98.73479,98.81561,1.9719,100.33685,100.55232
09-Mar-18,0.99849,9.71184,0.64886,98.57266,98.65485,1.99321,100.14781,100.3688
12-Mar-18,0.98186,9.72144,0.62938,98.75847,98.84203,1.99359,100.14438,100.3709
13-Mar-18,0.97096,9.72936,0.61576,98.8886,98.97353,1.98373,100.23166,100.4637
14-Mar-18,0.94191,9.74171,0.5838,99.19417,99.28047,1.99953,100.09168,100.32925
15-Mar-18,0.92747,9.75083,0.57093,99.31797,99.40838,1.97077,100.34624,100.60038
16-Mar-18,0.92938,9.74824,0.56775,99.34856,99.44034,1.96885,100.3631,100.62277
19-Mar-18,0.93016,9.74505,0.56516,99.37359,99.46674,1.95855,100.45438,100.71957
20-Mar-18,0.94112,9.73913,0.57688,99.26158,99.3561,1.89349,101.03335,101.30407
