"Date","Libor 2 Years Mid Rate","Libor 10 Years Mid Rate"
10-Jan-18,2.16719,2.53016
11-Jan-18,2.16601,2.5203
12-Jan-18,2.19584,2.542
16-Jan-18,2.2176,2.54596
17-Jan-18,2.2441,2.58277
18-Jan-18,2.2487,2.61857
19-Jan-18,2.26315,2.67545
22-Jan-18,2.27264,2.70833
23-Jan-18,2.24383,2.6476
24-Jan-18,2.26351,2.67793
25-Jan-18,2.26891,2.63981
26-Jan-18,2.30319,2.68224
29-Jan-18,2.31139,2.7186
30-Jan-18,2.31627,2.74462
31-Jan-18,2.33235,2.74517
01-Feb-18,2.35433,2.80432
02-Feb-18,2.37567,2.88288
05-Feb-18,2.31754,2.81049
06-Feb-18,2.32823,2.79243
07-Feb-18,2.3559,2.85511
08-Feb-18,2.36707,2.86848
09-Feb-18,2.32899,2.83659
12-Feb-18,2.35364,2.86277
13-Feb-18,2.3604,2.84565
14-Feb-18,2.43518,2.926
15-Feb-18,2.4616,2.90611
16-Feb-18,2.45694,2.89355
20-Feb-18,2.49024,2.90735
21-Feb-18,2.53172,2.96719
22-Feb-18,2.5063,2.93147
23-Feb-18,2.48483,2.8756
26-Feb-18,2.49441,2.85909
27-Feb-18,2.5458,2.92207
28-Feb-18,2.53545,2.88059
01-Mar-18,2.46266,2.8089
02-Mar-18,2.4879,2.86616
05-Mar-18,2.50759,2.88697
06-Mar-18,2.52285,2.89118
07-Mar-18,2.53607,2.90169
08-Mar-18,2.54435,2.89403
09-Mar-18,2.56662,2.91798
12-Mar-18,2.57831,2.89916
13-Mar-18,2.58777,2.89471
14-Mar-18,2.5719,2.85957
15-Mar-18,2.58224,2.86241
16-Mar-18,2.61376,2.89283
19-Mar-18,2.60071,2.88007
20-Mar-18,2.64084,2.9166
21-Mar-18,2.64869,2.95184
22-Mar-18,2.60902,2.87475
23-Mar-18,2.59471,2.86421
26-Mar-18,2.61017,2.87274
27-Mar-18,2.55344,2.81111
28-Mar-18,2.56746,2.79614
29-Mar-18,2.57951,2.77865
02-Apr-18,2.55725,2.76447
03-Apr-18,2.59516,2.80793
04-Apr-18,2.5999,2.82047
05-Apr-18,2.62373,2.86485
06-Apr-18,2.59146,2.80567
09-Apr-18,2.59198,2.80911
10-Apr-18,2.61288,2.82132
11-Apr-18,2.62182,2.82398
12-Apr-18,2.66276,2.8718
13-Apr-18,2.68202,2.86642
16-Apr-18,2.68555,2.86128
17-Apr-18,2.68333,2.84918
18-Apr-18,2.71581,2.89513
19-Apr-18,2.7232,2.93761
20-Apr-18,2.73942,2.98492
23-Apr-18,2.74704,2.99981
24-Apr-18,2.74117,3.00547
25-Apr-18,2.76277,3.05557
26-Apr-18,2.74564,3.01936
27-Apr-18,2.73565,2.9859
30-Apr-18,2.74778,2.9667
01-May-18,2.76515,3.00225
02-May-18,2.76366,2.9961
03-May-18,2.74846,2.97748
04-May-18,2.76835,2.97597
07-May-18,2.76863,2.98752
08-May-18,2.77122,3.00389
09-May-18,2.78412,3.03211
10-May-18,2.78603,3.0142
11-May-18,2.75982,3.00155
14-May-18,2.75425,3.01949
15-May-18,2.79855,3.10797
16-May-18,2.81226,3.12491
17-May-18,2.81381,3.13968
18-May-18,2.79053,3.09727
21-May-18,2.80456,3.10176
22-May-18,2.80567,3.09432
23-May-18,2.76063,3.03656
24-May-18,2.74122,3.01339
25-May-18,2.70639,2.97158
29-May-18,2.55788,2.80499
30-May-18,2.65193,2.8808
31-May-18,2.67365,2.87271
01-Jun-18,2.73117,2.94653
04-Jun-18,2.77161,2.99229
05-Jun-18,2.75649,2.97514
06-Jun-18,2.78654,3.03189
07-Jun-18,2.77532,2.991
08-Jun-18,2.77511,2.99535
11-Jun-18,2.80048,3.01862
12-Jun-18,2.80653,3.01741
13-Jun-18,2.84227,3.03952
14-Jun-18,2.84067,3.00775
15-Jun-18,2.82281,2.98453
18-Jun-18,2.82022,2.9892
19-Jun-18,2.80466,2.95874
20-Jun-18,2.81887,2.98834
21-Jun-18,2.80658,2.96008
22-Jun-18,2.81051,2.96462
25-Jun-18,2.79008,2.94142
26-Jun-18,2.79279,2.9469
27-Jun-18,2.76224,2.89902
28-Jun-18,2.78479,2.91775
29-Jun-18,2.78939,2.92513
02-Jul-18,2.80985,2.94407
03-Jul-18,2.79344,2.9148
05-Jul-18,2.81325,2.91917
06-Jul-18,2.79619,2.91004
09-Jul-18,2.81505,2.93924
10-Jul-18,2.8337,2.9495
11-Jul-18,2.81578,2.9153
12-Jul-18,2.82635,2.9219
13-Jul-18,2.8079,2.89728
16-Jul-18,2.82706,2.91583
17-Jul-18,2.83733,2.92588
18-Jul-18,2.83619,2.94138
19-Jul-18,2.82347,2.91503
20-Jul-18,2.82899,2.95468
23-Jul-18,2.85635,3.01804
24-Jul-18,2.85009,3.00315
25-Jul-18,2.84822,2.98851
26-Jul-18,2.87489,3.02365
27-Jul-18,2.87784,3.01826
30-Jul-18,2.87678,3.03754
31-Jul-18,2.88099,3.02889
01-Aug-18,2.89652,3.07058
02-Aug-18,2.88322,3.05626
03-Aug-18,2.86668,3.02529
06-Aug-18,2.86441,3.00923
07-Aug-18,2.88061,3.03441
08-Aug-18,2.86918,3.02394
09-Aug-18,2.84661,2.99277
10-Aug-18,2.78437,2.91905
13-Aug-18,2.79628,2.93585
14-Aug-18,2.82644,2.96022
15-Aug-18,2.79462,2.9155
16-Aug-18,2.8233,2.93794
17-Aug-18,2.82248,2.94344
20-Aug-18,2.7889,2.89664
21-Aug-18,2.80356,2.91329
22-Aug-18,2.78671,2.89499
23-Aug-18,2.79206,2.89226
24-Aug-18,2.80872,2.90012
27-Aug-18,2.82566,2.92619
28-Aug-18,2.83905,2.95569
29-Aug-18,2.85021,2.9566
30-Aug-18,2.83965,2.93456
31-Aug-18,2.81902,2.92218
04-Sep-18,2.84387,2.96627
05-Sep-18,2.83557,2.9624
06-Sep-18,2.82643,2.93708
07-Sep-18,2.89171,3.00535
10-Sep-18,2.8966,2.99732
11-Sep-18,2.93288,3.04571
12-Sep-18,2.92414,3.02878
13-Sep-18,2.93208,3.03228
14-Sep-18,2.95552,3.06069
17-Sep-18,2.94947,3.06545
18-Sep-18,2.95617,3.10425
19-Sep-18,2.97253,3.13813
20-Sep-18,2.99039,3.14265
21-Sep-18,2.97816,3.1263
24-Sep-18,2.9817,3.13076
25-Sep-18,3.00343,3.15613
26-Sep-18,2.99348,3.11968
27-Sep-18,2.99839,3.11578
28-Sep-18,2.98528,3.11471
01-Oct-18,2.99121,3.13272
02-Oct-18,2.98389,3.10964
03-Oct-18,3.01997,3.20577
04-Oct-18,3.05242,3.23779
05-Oct-18,3.06222,3.26615
09-Oct-18,3.06688,3.25468
10-Oct-18,3.06438,3.2679
11-Oct-18,3.03252,3.1787
12-Oct-18,3.03132,3.18345
15-Oct-18,3.05826,3.20984
16-Oct-18,3.05893,3.21338
17-Oct-18,3.07529,3.24269
18-Oct-18,3.0953,3.24403
19-Oct-18,3.11359,3.26814
22-Oct-18,3.10152,3.25675
23-Oct-18,3.07561,3.23205
24-Oct-18,3.05333,3.19181
25-Oct-18,3.06607,3.19712
26-Oct-18,3.01416,3.1369
29-Oct-18,3.02026,3.1524
30-Oct-18,3.03521,3.17719
31-Oct-18,3.07516,3.22519
01-Nov-18,3.06754,3.21025
02-Nov-18,3.11239,3.27331
05-Nov-18,3.10241,3.25934
06-Nov-18,3.11712,3.26939
07-Nov-18,3.12899,3.27079
08-Nov-18,3.15136,3.28476
09-Nov-18,3.12365,3.24711
13-Nov-18,3.08161,3.20284
14-Nov-18,3.05277,3.18106
15-Nov-18,3.05545,3.18176
16-Nov-18,3.0027,3.13533
19-Nov-18,2.97282,3.11467
20-Nov-18,2.98291,3.11358
21-Nov-18,3.00318,3.12613
23-Nov-18,2.99622,3.1164
26-Nov-18,3.01721,3.13031
27-Nov-18,3.00676,3.10878
28-Nov-18,2.97322,3.08323
29-Nov-18,2.98258,3.07682
30-Nov-18,2.97859,3.05621
03-Dec-18,3.00579,3.04802
04-Dec-18,2.97444,2.9841
06-Dec-18,2.92748,2.94344
07-Dec-18,2.86873,2.90181
10-Dec-18,2.85026,2.88351
11-Dec-18,2.88928,2.91108
12-Dec-18,2.90383,2.94089
13-Dec-18,2.90007,2.94525
14-Dec-18,2.87883,2.92243
17-Dec-18,2.84519,2.89121
18-Dec-18,2.78546,2.8421
19-Dec-18,2.78414,2.80353
20-Dec-18,2.81281,2.82544
21-Dec-18,2.79274,2.83254
24-Dec-18,2.72344,2.77335
26-Dec-18,2.73836,2.81372
27-Dec-18,2.67937,2.76069
28-Dec-18,2.67513,2.75577
31-Dec-18,2.6623,2.72043
02-Jan-19,2.67478,2.69176
03-Jan-19,2.54042,2.56993
04-Jan-19,2.63809,2.68825
07-Jan-19,2.66194,2.70713
08-Jan-19,2.71832,2.74231
